LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
19/02022/FUL,London Borough of Lambeth,13/06/2019,Completed,All Other,Change of use from two flats to a single dwelling house and the installation of French doors.,,52,Haverhill Road,,SW12 0HB,10/08/2019,,,,1,2,-1,-1,-1,Approved,06/08/2019,,,
16/P2163,Merton,24/05/2016,Completed,All Other,"CONSTRUCTION OF FIRST, SECOND AND THIRD FLOOR REAR EXTENSIONS OVER EXISTING GROUND FLOOR CONVERSION FROM 2 FLATS TO 3 X 1 BED FLATS AND NEW CYCLE & BIN STORAGE.",52B,52B,Broadway Court,Wimbledon,,20/01/2019,17/12/2019,,,3,2,1,1,1,Approved,26/08/2016,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=16/P2163
18/1870/FUL,Barnet,16/04/2018,Completed,All Other,Demolition of existing dwelling and erection of a two storey detached dwellinghouse with rooms in roofspace,,7,Faber Gardens,Hendon,NW4 4NP,10/07/2018,18/11/2019,,,1,1,0,0,0,Approved,08/06/2018,,,
184605FUL,Ealing,09/10/2018,Completed,All Other,Front roof extension to main roofslope; creation of additional self-contained unit to roofspace; and installation of side and rear rooflights,Beechwood,Beechwood,Waldeck Road,London,W13 8LY,10/01/2018,19/08/2019,,,1,0,1,1,1,Approved,03/12/2018,,,https://pam.ealing.gov.uk/online-applications/PLAN/184605FUL;
19/00272/CEU,Enfield,23/01/2019,Completed,All Other,Use of property as House In Multiple Occupation (HMO) of over 10 years.,,22,Elmhurst Road,,EN3 5TB,04/05/2020,04/05/2020,,,1,1,0,0,0,Approved,20/03/2019,,,
192852FUL,Ealing,27/06/2019,Completed,All Other,Conversion of house into two self-contained flats with provision of associated amenity space and parking,168 Rydal Crescent,168,Rydal Crescent,Greenford,UB6 8EQ,11/09/2019,03/11/2019,,,2,1,1,1,1,Approved,11/09/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/192852FUL;
PP/2015/6581,Ealing,09/12/2015,Completed,All Other,"conversion of single family dwelling house into two self-contained flats (2x2 bed); rear single storey extension; loft conversion; and the installation of two rooflights within the front roofslopes; provision of on-site amenity, refuse and cycle storage.",55,55,Dorset Road,Ealing,W5 4HX,16/04/2018,04/10/2020,,,2,1,1,1,1,Approved,03/02/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/6581;
19/01398/CLE,London Borough of Newham,16/05/2019,Completed,All Other,"Certificate of lawfulness for the existing use of 10x residential apartments on ground, first and second floorsRevised Description",,13,Leytonstone Road,Stratford,E15 1JA,,31/03/2020,,,10,0,10,10,10,Approved,11/07/2019,,,
HGY/2019/1114,Haringey,05/04/2019,Completed,All Other,Certificate of lawfulness: existing use of 4 self-contained units,"7, Havergal Villas, Green Lanes, London, N15 3DY",7 Havergal Villas,,,,23/05/2019,23/05/2019,,,4,0,4,4,4,Approved,23/05/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GI0JAAW
178427FUL,Ealing,22/11/2017,Completed,All Other,"Conversion of two self contained flats into four self contained flats, incorporating a single storey rear/side extension; roof extension to rear (main) roof slope; part rear roof extension to two storey rear outrigger (involving conversion of roof space to habitable use) and installation of three roof lights to front roof slope.",45 Berrymead Gardens,45,Berrymead Gardens,London,W3 8AB,15/03/2018,27/05/2019,,,4,2,2,2,2,Approved,15/03/2018,,,https://pam.ealing.gov.uk/online-applications/PLAN/178427FUL;
39649/APP/2019/1270,Hillingdon,12/04/2019,Completed,All Other,Use of property as two x 1 bed self contained flats (Application for a Certificate of Lawful Development for an Existing Development),58 CROWLAND AVENUE,58,HAYES,,,06/06/2019,06/06/2019,,,2,1,1,1,1,Approved,06/06/2019,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=39649/APP/2019/1270
182621FUL,Ealing,06/06/2018,Completed,All Other,Conversion of dwelling house into two self-contained flats; first foor rear extension; installation of entrance on ground floor side elevation; and associated amenity space,38 Portland Crescent,38,Portland Crescent,Greenford,UB6 9EX,17/06/2019,17/02/2020,,,2,1,1,1,1,Approved,31/07/2018,,,https://pam.ealing.gov.uk/online-applications/PLAN/182621FUL;
19/02599/FUL,Enfield,29/07/2019,Completed,All Other,Conversion of single family dwelling house into 1 x 3-bed + 1 x 1 bed flat with front entrance porch and vehicular access.,,36,Berkeley Gardens,,N21 2BA,17/10/2019,01/04/2020,,,2,1,1,1,1,Approved,23/09/2019,,,
HGY/2019/1117,Haringey,12/04/2019,Completed,All Other,Certificate of lawfulness: existing use. 2 self-contained flats,"27, Beaufoy Road, London, N17 8AX",27,,,,06/06/2019,06/06/2019,,,2,0,2,2,2,Approved,06/06/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GH27AAG
172711VAR,Ealing,26/05/2017,Completed,All Other,"Application for a Minor Material Amendment (S73) to vary conditions 2 (Approved Plans) and 7 (Accessibility Part M4(2) of Building Regulations), and remove condition 8 (Accessibility Part M4(3) of Building Regulations) of planning permission 160612FUL dated 19/10/2016 for Construction of a four storey building with basement, to provide ten self-contained flats ( 1x1 bed, 8x2 bed and 1 x 3 bed), with sunken patios at basement level, terraces at ground and third floor levels and associated landscaping, refuse storage provision) (Amendments seek to reduce the requirement from 90 percent to 30 percent of accessible and adaptable dwellings and to remove the requirement that 10 percent are wheelchair user accessible)",Zero,Zero,Alfred Road,London,W3 6LH,02/10/2017,14/05/2019,,,10,0,10,10,10,Approved,02/10/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/172711VAR;
2019/01680/FUL,London Borough of Hammersmith and Fulham,10/06/2019,Completed,All Other,Change of use of part of the lower ground floor level from a children's day nursery (Class D1) into a one bedroom self-contained flat (Class C3); erection of a new external staircase from basement to ground floor level at the front of the property; and associated alterations.,726 - 728 Fulham RoadLondonSW6 5SF,,,,,,31/07/2019,,,1,0,1,1,1,Approved,23/08/2019,,,
16/02230/FUL,London Borough of Lambeth,24/05/2016,Completed,All Other,Demolition of existing redundant plant and storage space at third floor level and erection of an additional storey to provide 2x bedroom flat,,13,Lower Marsh,,SE1 7RJ,01/02/2019,01/10/2019,,,1,0,1,1,1,Approved,03/10/2016,,,
P2018/0848/FUL,Islington,02/05/2018,Completed,All Other,"Conversion of the vacant dental surgery at first floor level (D1 use) to a 52 m2, 1 bedroom flat (C3 use)",,306,Holloway Road,London,,,14/04/2019,,,1,0,1,0,1,Approved,19/11/2018,,,
193021FUL,Ealing,08/08/2019,Completed,All Other,The temporary change of use of 3 residential units (221sqm. of C3) within Phase 9.1 for use as a marketing suite and show apartment (Class Sui-Generis) for a period of up to two (2) years.,Phase 9.1 Of Acton Gardens Estate,,Bollo Lane,London,W3 8BE,04/11/2019,01/04/2020,,,3,0,3,3,3,Approved,04/11/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/193021FUL;
P2019/0685/COL,Islington,04/03/2019,Completed,All Other,Certificate of Lawfulness (Existing) - The construction and use of this part of the building for a single dwelling house for a peiod in excess of four (4) years.,Whittington House,766,Holloway Road,London,,08/05/2019,08/05/2019,,,1,0,1,1,1,Comment Issued,29/04/2019,,,
192055CPE,Ealing,07/06/2019,Completed,All Other,Continued use of garage as a self-contained flat (Lawful Development Certificate for an Existing Use),61,61,Leaver Gardens,Greenford,UB6 8ES,01/08/2019,01/08/2019,,,1,0,1,1,1,Approved,01/08/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/192055CPE;
19/03305/LDCP,London Borough of Lambeth,09/09/2019,Completed,All Other,Application for a Certificate of Lawful Development (Proposed) with respect to the use as a single dwellinghouse,,16,Brockwell Park Gardens,,SE24 9BL,04/11/2019,04/11/2019,,,1,1,0,0,0,Approved,04/11/2019,,,
1481/18,Redbridge,20/04/2018,Completed,All Other,Demolition of single storey garage and erection of a two storey two-bedroom dwelling with rear dormer and two front roof lights. (Summary),28,28,Marlborough Road,South Woodford,E18 1AP,14/01/2019,14/11/2019,,,1,0,1,1,1,Approved,17/07/2018,,,
18/04404/CEU,Enfield,18/01/2019,Completed,All Other,Use of property as a House in Multiple Occupation for up to 6 residents.,,21,Findon Road,,N9 7QB,15/04/2019,01/04/2020,,,1,1,0,0,0,Approved,15/04/2019,,,
2019/0725/P,Camden,06/02/2019,Completed,All Other,Erection of new mansard roof extension to provide 1x1 bedroom flat and 1x Studio flat.,40 - 42,40,Mill Lane,London,NW6 1NR,03/07/2019,27/11/2019,,,2,0,2,2,2,Approved,16/04/2019,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2019/0725/P
0740/17,Redbridge,01/04/2017,Completed,All Other,Proposed formation of new second floor studio flat unit within the existing roof space (Summary).,9,9,Eastwood Road,Seven Kings,,01/08/2017,31/05/2019,,,1,0,1,1,1,Approved,26/05/2017,,,
D0195.19,Havering,01/05/2019,Completed,All Other,"Certificate of lawfulness for the amalgamation of two residential dwellings - 13 & 15 Woodhall Crescent, Hornchurch.",,13-15,Woodhall Crescent,Hornchurch,RM11 3NN,26/06/2019,26/06/2019,,,1,2,-1,-1,-1,Not Required,26/06/2019,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=D0195.19
170261HH,Ealing,13/02/2017,Completed,All Other,Construction of two attached two storey dwellinghouses (with accommodation in the roof space) (2 x 3 beds) on land adjacent No. 18 Bulls Bridge Road with associated car parking and refuse storage provision (following demolition of single storey side extensions and garage); rear roof extension to existing dwellinghouse including a Juliet balcony (involving conversion of roof space into habitable use); front porch extension; installation of one roof light to front roof slope; and external alterations to insert a window in the front and rear facades.,18,18,Bulls Bridge Road,Southall,UB2 5LU,12/05/2017,28/06/2019,,,2,0,2,2,2,Approved,12/05/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/170261HH;
HGY/2019/0720,Haringey,14/02/2019,Completed,All Other,Certificate of lawfulness: existing use of 1x1 bed flat,"110B, Myddleton Road, London, N22 8NQ",110B,,,,11/04/2019,11/04/2019,,,1,0,1,1,1,Approved,11/04/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GE09AAG
2019/1583,Hackney,29/04/2019,Completed,All Other,Existing use of flat 1 (ground floor) and flat 4 (lower ground floor) as self contained flats (use class C3),Flat 1,6,REIGHTON ROAD,HACKNEY,E5 8SG,22/07/2019,22/07/2019,,,2,0,2,2,2,Approved,24/06/2019,,,/planning/index.html?fa=getApplication&id=6259
HGY/2019/0722,Haringey,19/02/2019,Completed,All Other,Certificate of lawfulness: existing use. 3 self-contained units,"130, Myddleton Road, London, N22 8NQ",130,,,,15/04/2019,15/04/2019,,,3,0,3,3,3,Approved,15/04/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GGF0AAO
203878FUL,Ealing,29/09/2020,Completed,All Other,Conversion of single dwelling house into two self-contained flats; single storey outbuilding in rear garden (Retrospective); single storey rear/side extension (following demolition of single storey rear extension),27 Church Road,,Church Road,London,W7 3BD,,08/11/2019,,,2,1,1,1,1,Approved,24/08/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/203878FUL;
PP/2012/4247,Ealing,12/10/2012,Completed,All Other,Demolition of existing commercial buildings and redevelopment of the site to provide a part two part three storey building comprising one commercial unit (Use Class B1) and nine terraced houses,"Woodlands Mews, Rear of 241-267","Woodlands Mews, Rear of 241-267",High Street,Acton,W3 9BY,10/05/2016,12/05/2019,,,9,0,9,9,9,Approved,10/07/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/4247;
19/00796/LDCE,London Borough of Lambeth,05/03/2019,Completed,All Other,Certificate of Lawfulness (existing) with respect to the use of the property as 3 flats.,,5,Kingscourt Road,,SW16 1JA,15/05/2019,15/05/2019,,,3,1,2,2,2,Approved,15/05/2019,,,
P/2012/0164,Ealing,18/01/2012,Completed,All Other,"Construction of a two storey building with living accommodation at roof level to accommodate 22 flats (6 x one-bedroom, 13 x two-bedroom and 3 x three-bedroom); associated provision of 12 x off-street car parking spaces, private and communal amenity spaces, cycle parking and refuse storage (following demolition of existing buildings)",4-14 Shakespeare Road,4-14,Shakespeare Road,London,W7 1LR,18/03/2016,03/05/2019,,,22,4,18,18,18,Approved,18/04/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2012/0164;
190990FUL,Ealing,04/03/2019,Completed,All Other,"Construction of a single-storey end of terrace dwellinghouse and associated amenity space, refuse storage, cycle storage and parking provision",98 Manor Farm Road,98,Manor Farm Road,Wembley,HA0 1BW,26/04/2019,30/07/2019,,,1,0,1,1,1,Approved,26/04/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/190990FUL;
P2016/0840/FUL,Islington,04/04/2016,Completed,All Other,Demolition of three existing garages and excavation works for the construction of a ground floor over basement two-bedroom residential dwelling with green roof and bin store at entrance level.,Garage 10,,Quemerford Road,London,,14/05/2018,01/10/2019,,,1,0,1,1,1,Approved,09/08/2016,,,
2019/1962,Hackney,12/06/2019,Completed,All Other,Existing use of the premises as a self-contained dwelling (Use Class C3),,110 - 112,CURTAIN ROAD,HACKNEY,EC2A 3AH,13/08/2019,22/08/2019,,,1,0,1,1,1,Approved,22/07/2019,,,/planning/index.html?fa=getApplication&id=6853
14/07339/FUL,London Borough of Barnet,04/12/2014,Completed,All Other,"Part single, part-two storey rear extension to provide 2 self-contained residential units",58-60 High RoadLondonN2 9PN,,,,,,09/05/2019,,,2,0,2,2,2,Approved,30/01/2015,,,
2019/01050/CLE,London Borough of Hammersmith and Fulham,05/04/2019,Completed,All Other,Use of the property as 2 x 2 bedroom self contained flats and 1 x 1 bedroom self contained flat.,,"50, 52",Goldhawk Road,,W12 8DH,18/06/2019,18/06/2019,,,3,3,0,0,0,Approved,18/06/2019,,,
HGY/2019/2209,Haringey,30/07/2019,Completed,All Other,Retrospective application for change of use of pre-existing 3-bedroom flat into 2 self-contained studio flat.,"813-817, High Road, London, N17 8ER",813-817,,,,24/09/2019,24/08/2019,,,2,0,2,2,2,Approved,24/09/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GE3VAAW
