LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
P/2013/2848,Ealing,01/07/2013,Completed,All Other,"Retention of existing residential floor space (Class C3) and change of use of the building from hostel (Sui Genuris) to create seven (7) residential (class c3) units comprising of 4 x 2 bedroom flats, 3 x 6 bedroom houses, the erection of a two-storey rear extension and alterations to the front elevation, including the reinstatement of front staircase and entrance, the rationalisation of the existing bin stores, installation of new boundary fencing / railing / gates: the reinstatement of a chimney stack; installation of rooflight window and the replacement of an existing window with a new doorway on the front (northwest) elevation",1A - 3 Burlington House,"Burlington House, 1A - 3",The Mall,London,W5 3TR,01/05/2015,21/06/2017,,,7,0,7,7,7,Approved,23/08/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2013/2848;
PP/2015/2980,Ealing,02/06/2015,Completed,All Other,Conversion of two x five bed flats to six self-contained flats (4 x one bed and 2 x two bed) including a first floor rear extension and rear roof extension (involving the conversion of roofspace into habitable use) including the installation of ten rooflights to the front roofslope.,2-6,2-6,Spring Bridge Road,Ealing,W5 2AA,,10/10/2017,,,6,2,4,0,6,Approved,28/07/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/2980;
P/2014/4490,Ealing,25/09/2014,Commenced,All Other,"Construction of three additional floors (first, second and third floors) to create a part three, part four-storey building to provide 9 residential flats (8 x 2 bedroom and 1 x 3 bedroom) retaining the existing ground floor including provision of cycle and refuse stores.",121-123,121-123,Broadway,West Ealing,W13 9BE,16/02/2016,,,,9,3,6,3,3,Approved,18/08/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2014/4490;
174221FUL,Ealing,13/09/2017,Completed,All Other,Use of rear garden outbuilding as a residential annex (Retrospective Application),19 Wilfrid Gardens,19,Wilfrid Gardens,London,W3 0NQ,07/11/2017,07/11/2017,,,1,0,1,1,1,Approved,07/11/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/174221FUL;
PP/2015/3003,Ealing,03/06/2015,Completed,All Other,Second floor rear extension to rear outrigger to create an additional studio flat.,16,16,The Mall,London,W5 2PJ,,01/10/2017,,,1,0,1,0,1,Approved,29/07/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/3003;
2505/09,Redbridge,14/12/2009,Completed,All Other,Erection of one pair of semi detached four bedroom houses.,Land Adjacent 34,Land adjacent 34,Abbotsford Gardens,Woodford Green,,21/07/2014,31/03/2018,,,2,0,2,2,2,Approved,22/07/2011,,,
P/2014/4792,Ealing,25/09/2014,Commenced,All Other,"Redevelopment of the site to provide a part two and three-storey building fronting Uxbridge Road containing 4 x 2 bed and 2x 1 bed flats and a two storey building fronting Shirley Gardens containing 4 x 1 bed flat (10 private market units in total), refuse storage, cycle storage, amenity space and the provision of 6 car parking spaces (1 disabled) on the frontage with access off Shirley Gardens (following the demolition of existing building on the site) (Resubmission of application PP/2010/5088) (Revised)",3-7 Uxbridge Road,3-7,Uxbridge Road,London,W7 3PX,20/04/2015,,,,10,3,7,7,7,Approved,06/01/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2014/4792;
PP/2013/3971,Ealing,13/09/2013,Completed,All Other,Construction of a two storey five bedroom detached house (with habitable accommodation in the roof space and integral basement); and associated parking and landscaping (following demolition of the existing house),61 Park View Road,61,Park View Road,London,W5 2JF,,01/01/2018,,,1,1,0,0,0,Approved,08/11/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/3971;
163276FUL,Ealing,06/07/2016,Completed,All Other,"Two storey side extension and single storey rear extension to form attached three bedroom dwellinghouse; alteration to existing crossover, provision of car parking space, amenity space and refuse storage.",1 Newdene Avenue,1,Newdene Avenue,Northolt,UB5 5JE,01/03/2017,30/01/2018,,,1,0,1,1,1,Approved,31/08/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/163276FUL;
160691FUR3,Ealing,01/02/2016,Completed,All Other,"Construction of a three storey building to accommodate 18 self-contained flats (7 x one-bed and 11 x two-bed) , with associated access, car parking, cycle storage, amenity space and landscaping (Regulation 3- Development by London Borough of Ealing)",Former Garage Site Adjacent To Perceval Court,Former Garage Site adjacent to Perceval Court,Newmarket Avenue,Northolt,UB5 4EN,01/11/2016,01/11/2017,,,18,0,18,18,18,Approved,12/08/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/160691FUR3;
17/03097/FULL1,Bromley,,Completed,All Other,Conversion of dwellinghouse to two self-contained flats comprising 1 x 1 bedroom flat on the ground floor and 1 x 2 bedroom flat split over first floor and loft. Loft conversion and rear dormer window and two front rooflight. Single storey rear infill extension.,31,31,West Street,Bromley,BR1 1RE,27/09/2017,27/09/2017,,,2,1,1,1,1,Approved,27/09/2017,,,
PP/2015/4902,Ealing,09/09/2015,Completed,All Other,Subdivision of ground floor commercial unit to provide an additional three retail units (A1 use class); first floor rear extension to provide two residential units; installation of three shop fronts and associated alterations to openings on ground floor flank elevation.,135 The Broadway,135,The Broadway,Southall,UB1 1LW,04/12/2015,21/10/2017,,,2,1,1,1,1,Approved,04/11/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/4902;
163397FUL,Ealing,12/07/2016,Completed,All Other,Conversion of three storey dwelling to five self-contained residential units (2x2 bed and 3xstudio flats); single storey side extension and side/rear wrap around extension (following demolition of existing single storey extension); part first floor side extension; rear dormer roof extension (involving conversion of roofspace to habitable use) and installation of two rooflights to front and side roofslope; provision of refuse/cycle storage area,34 Hartington Road,34,Hartington Road,London,W13 8QL,01/04/2017,01/04/2018,,,5,2,3,3,3,Approved,13/02/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/163397FUL;
PP/2015/5708,Ealing,14/12/2015,Completed,All Other,Two storey side and rear extension to provide two studio flats (a total of five flats),50,50,Hereford Road,London,W3 9JN,26/09/2018,10/10/2017,,,2,0,2,2,2,Approved,08/02/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/5708;
174435CPE,Ealing,29/09/2017,Completed,All Other,Continued use of the detached garage to the rear of 74 Princes Gardens as a single self contained dwelling (Lawful Development Certificate for Existing Use),74 Princes Gardens,74,Princes Gardens,London,W3 0LQ,23/11/2017,23/11/2017,,,1,0,1,1,1,Approved,23/11/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/174435CPE;
16/04910/FULL1,Bromley Custodian Code,24/10/2016,Completed,All Other,Demolition of the existing four bedroom detached dwelling and redevelopment of the site to provide 6no. two bedroom apartments & 1 bedroom unit,Upfield,,Hillbrow Road,,BR1 4JL,,01/10/2018,,,7,1,6,6,6,Approved,20/01/2017,,,
2016/0141,Wandsworth,13/01/2016,Completed,All Other,Demolition of existing garage to the rear of 958 Garratt Lane (fronting Garratt Terrace) and construction of a two-storey 2-bedroom house with the subdivision of the garden of 958 Garratt Lane.,958,958,Garratt Lane,London,SW17 0ND,07/09/2016,21/06/2017,,,1,0,1,1,1,Approved,08/03/2016,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2016/0141
P/2013/1460,Ealing,16/04/2013,Completed,All Other,"Application for a replacement planning permission to extend the time limit for implementation of planning Ref:P/2010/0702 dated 24/06/2010 for construction of two storey detached house with basement, integral garage, vehicular access and parking.",20,20,Chatsworth Road,Ealing,W5 3DB,01/11/2016,01/09/2017,,,1,0,1,1,1,Approved,15/11/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2013/1460;
170276FUL,Ealing,23/01/2017,Completed,All Other,"Conversion of dwellinghouse into three self-contained residential units (1 x 3 bed and 2 x 1 bed); alteration of roof from hip to gable end; rear dormer roof extension and part rear roof extension to rear outrigger; single storey side to rear wrap around extension; installation of two rooflights to the front roofslope; provision of five cycle spaces, amenity space and refuse storage",56 Hillcrest Road,56,Hillcrest Road,London,W3 9RY,30/09/2017,19/01/2018,,,3,1,2,2,2,Approved,17/07/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/170276FUL;
PP/2014/6567,Ealing,23/12/2014,Completed,All Other,Conversion of single family dwellinghouse into three self-contained flats (2 x 2 bed flats and 1 x 1 bed flat); cycle storage to rear garden and refuse to the front forecourt,21,21,Old Oak Road,London,W3 7HN,11/01/2016,17/08/2017,,,3,1,2,2,2,Approved,17/02/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/6567;
170305FUL,Ealing,24/01/2017,Completed,All Other,Conversion of single family dwelling house into two self-contained flats.,30 Hanger Lane,30,Hanger Lane,London,W5 3HJ,13/08/2017,10/01/2018,,,2,1,1,1,1,Approved,26/04/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/170305FUL;
P/2015/1061,Ealing,09/03/2015,Completed,All Other,"Construction of a two storey dwellinghouse following demolition of side extensions, incorporating a basement (with external staircase) rear dormer, side dormer, front porch, bicycle and garden shed; refuse storage and associating landscaping and boundary wall; single storey rear extension and front porch to No 29 Kerrison Road",29 Kerrison Road,29,Kerrison Road,London,W5 5NW,01/05/2016,10/10/2017,,,1,0,1,1,1,Approved,01/05/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/1061;
16/7307/FUL,London Borough of Barnet,16/01/2017,Completed,All Other,"Conversion of roof space of existing building to provide 4 additional residential units, including the addition of dormer windows. Minor amendments to the layouts of the 9 approved flats already in construction. [AMENDED PLANS]",Sparrow House,5,Glengall Road,,HA8 8TE,01/06/2016,23/06/2017,,,4,0,4,4,4,Approved,22/06/2017,,,
HGY/2014/1041,Haringey,,Completed,All Other,"Demolition of side and rear extensions. Conversion of part ground, first and second floors into four flats (3 x 1 bed and 1 x 2 bed). Erection of 10 Houses (8 x 3 bed and 2 x 4 bed) at the rear of the site with associated access road, parking spaces and landscaping.",5,5,Bruce Grove,Bruce Grove,N17 6RA,03/09/2016,01/04/2018,,,14,1,13,13,13,Approved,22/12/2014,,,
18/00387/FULL1,Bromley,29/01/2018,Completed,All Other,Change of use from a C4 6 bed HMO to a Sui Generis 7 bed HMO,,29,Ash Grove,Penge,SE20 7RD,29/03/2018,29/03/2018,,,1,1,0,0,0,Approved,29/03/2018,,,
172982FUL,Ealing,10/06/2017,Completed,All Other,Conversion of a single dwellinghouse into four self-contained residential units; single storey rear extension (following demolition of existing conservatory); installation of one window to front elevation; alteration to fenestration on side elevation; and associated refuse and cycle storage,10 Buxton Gardens,10,Buxton Gardens,London,W3 9LQ,23/02/2018,16/02/2018,,,4,1,3,3,3,Approved,27/09/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/172982FUL;
PP/2013/2509,Ealing,01/07/2013,Completed,All Other,"Details of reserved matters of Phase 2B detailing 'appearance' and 'landscaping' for the construction of three terraces of 28 three-storey houses (22 x three-bedroom and 6 x four-bedroom units) and three apartment buildings varying in height between four-storeys high and part five, six, seven and eight-storeys high providing 184 flats (82 x one-bedroom; 88 x two bedroom; 14 x three-bedroom units) and a site management office of 62 sq. m (GIA) floor space; 34 car parking spaces located within an under croft car parking area; 102 on-street car parking spaces within Singapore Road, Talbot Road and new streets constructed as part the development; cycle and refuse stores; landscaping and public realm works in pursuance of conditions 2 and 3 of Outline Planning Permission ref: P/2010/0419 dated: 29/09/2010 (and material amendment application ref: P/2013/1886, dated 19/08/2013) for 'Outline planning application seeking approval of layout, scale and access for the redevelopment of the Green Man Lane Estate comprising the demolition of the multi-storey car park and surface car parking areas, Dean Hall and the existing housing stock (464 homes) and the erection of 706 new residential units and houses (to comprise a net gain of 242 dwellings) together with new and altered roads, car and cycle parking, an energy centre, public and private open space and the provision of a gym, cafe, community floor space and enterprise units'.","Phase 2B, Green Man Lane Estate","Phase 2b, Green Man Lane Estate",Singapore Road,,,04/02/2015,22/12/2017,,,212,0,212,212,212,Approved,08/11/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/2509;
160654FUL,Ealing,04/03/2016,Completed,All Other,Additional three storeys to create 6 residential units (6x1 bed).,Erne House,Erne House,Rosebank Way,London,W3 6TY,21/03/2017,15/03/2018,,,6,0,6,6,6,Approved,12/08/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/160654FUL;
PP/2014/3445,Ealing,30/06/2014,Completed,All Other,Construction of additional floor to create fifth floor (to include private roof terraces); side extension to fourth floor; in conjunction with the creation of 1 x three-bedroom unit; enlargement of 3 existing residential units and creation of one parking space in basement.,Long Island House,Long Island House,Warple Way,London,W3 0RG,15/01/2016,01/10/2017,,,1,0,1,1,1,Approved,22/08/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/3445;
