LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
PP/2015/3246,Ealing,12/06/2015,Completed,All Other,Single storey rear extension to main dwellinghouse; two storey side and single storey rear/side extension in conjunction with creation of an additional one bedroom self contained unit,4 Spencer Close,4,Spencer Close,London,NW10 7DU,04/12/2015,10/10/2017,,,1,0,1,1,1,Approved,07/08/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/3246;
161389FUL,Ealing,05/04/2016,Completed,All Other,Construction of a two storey dwellinghouse (with habitable accommodation in the roofspace); vehicle access onto Dormers Wells Lane; parking; hard/soft landscaping; refuse and cycle storage,122 Dormers Wells Lane,122,Dormers Wells Lane,Southall,UB1 3JA,01/03/2016,29/09/2017,,,1,0,1,1,1,Approved,12/09/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/161389FUL;
165786FUL,Ealing,24/11/2016,Completed,All Other,"Rear roof extension (involving conversion of roofspace to habitable use), and installation of two rooflights to front roofslope to existing dwellinghouse; construction of two three storey end of terrace (2x3 bedroom) dwellinghouses; provision of amenity, cycle parking, refuse and recycling spaces.",Land Adjacent 1188,1188,Greenford Road,Greenford,UB6 0HQ,13/07/2017,01/04/2018,,,2,0,2,2,2,Approved,23/05/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/165786FUL;
P2017/1385/COLP,Islington,31/03/2017,Completed,All Other,Certificate of lawfulness for existing self-contained residential unit (C3).,Garden Cottage,38D,Aberdeen Road,London,N5 2XD,24/05/2017,24/05/2017,,,1,0,1,1,1,Comment Issued,24/05/2017,,,
PP/2014/5311,Ealing,17/10/2014,Completed,All Other,"Reserved matters application for Phase 4 of the Acton Gardens masterplan detailing Landscaping, Appearance, Scale, Access and Layout in relation to the construction of a part seven to nine storey high apartment building containing 107 units (33 no. 1-bedroom, 46 no. 2-bedroom, 25 no. 3-bedroom, and 3 no. 4-bedroom flats); associated private and semi-private amenity space, refuse / recycling and bicycle stores; a single-storey substation; 18 off-street car parking spaces and 19 on-street car parking spaces; provision of a public open space of approximately 4,900 sq.m; the closure of Hanbury Road and reconfiguration of the public highway to the east of its current position and the construction of a new north-south street between Bollo Bridge Road and Osborne Road; application made part pursuant to conditions 2 (Reserved Matters), 4 (Reserved Matters Details), 5 (Details of Public Realm Landscaping), 6 (Energy Strategy), 11 (Noise Mitigation Measures), 16 (Flood Risk Assessment), 18 (Tree Protection), 19 (Refuse and Recycling Enclosures), 20 (Archaeological Investigation), 22 (Rainwater and / or Greywater Recycling Systems), 25 (Boundary Treatments), 26 (Details of Secured by Design) and 35 (Timeframe for the Delivery of West Park) of outline planning permission LBE ref: P/2012/0708, dated 13/08/2013 (amended by minor material amendment application PP/2014/2142, dated 21/07/2014) for the multi-Phased regeneration of the South Acton Estate.",Phase 4 Of The Acton Gardens Masterplan;,"Phase 4 of the Acton Gardens Chesterton Court, Grahame Tower",Hanbury Road,London,W3 8RH,05/02/2015,10/10/2017,,,107,78,29,29,29,Approved,05/02/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/5311;
15/07307/VOC,London Borough of Lambeth,22/12/2015,Completed,All Other,"Variation of condition 2 of planning permission ref 14/06765/VOC (Variation of condition 2 of planning permission ref 14/03760/VOC (which granted the variation of condition 13 of planning permission 10/00507/FUL) to allow for minor material amendments to the permitted scheme, to provide 259 residential units and associated revisions to their layouts, tenure mix and dwelling mix; 1,253sqm retail accommodation (A1/A2/A3); relocation and reconfiguration of theatre (303sqm) and community facility (176 sq m); 127 car parking spaces revisions to servicing arrangements; improved energy efficiency; and consequential minor revisions to the external design and massing). Granted on 13/10/2015. Original condition 2 states: The development hereby permitted shall be carried out in accordance with the approved plans listed in this notice, other than where those details are altered pursuant to the requirements of the conditions of this planning permission. Variation sought: To substitute the approved plans to allow for variation to the permitted scheme","142-170 Streatham Hill And Wentworth House, 10 Sternhold Avenue",,Development Control Pseudo Street,,,31/03/2018,31/03/2018,,,254,10,244,244,244,Approved,15/09/2016,,,
P2014/0950/FUL,Islington,14/03/2014,Completed,All Other,Demolition of existing single storey Goodinge Community centre building. Redevelopment of the site to provide a 6 storey building comprising of a community centre at ground floor level and 23 residential units on upper levels. Residential units comprised of 16 x 2 bed flats and 7 x 3-bed flats.,Goodinge Community Centre,21,North Road,London,N7 9GQ,31/12/2015,01/01/2018,,,23,0,23,23,23,Approved,18/07/2014,,,
16/02466/RESPA,Bromley,,Completed,Prior Approval,"Change of use of ground and first floor and existing roof space from Class B1(a) office to Class C3 to form 5 no. two bedroom and 9 no. one bedroom flats (56 day application for prior approval in respect of transport and highways, contamination, flooding risks and noise impacts under Part O of the General Permitted Development Order).",Burnhill Business Centre,Burnhill Business Centre,Burnhill Road,Beckenham,BR3 3LA,30/06/2017,30/06/2017,,,14,0,14,14,14,Approved,29/07/2016,,,
HGY/2014/0373,Haringey,,Completed,All Other,Erection of a block of 3x 2 bedroom flats at the Liston Road Elevation,2,2,Lansdowne Road,,N17 9XE,01/08/2017,11/02/2018,,,3,0,3,3,3,Approved,25/05/2017,,,
12/4074/FUL,Richmond upon Thames,05/02/2013,Commenced,All Other,Conversion of two storey flat into 2no. single storey flats. Erection of first floor rear extension.,,13,Broad Street,,TW11 8QZ,,,,,2,1,1,0,2,Approved,16/02/2015,,,
PP/2015/5688,Ealing,29/10/2015,Completed,All Other,Construction of garage with residential unit on first floor following demolition of existing garage.,1,1,Mortimer Road,West Ealing,W13 8NG,28/01/2017,15/08/2017,,,1,0,1,1,1,Approved,28/01/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/5688;
PP/2015/5560,Ealing,15/10/2015,Completed,All Other,Conversion of the existing basement from storage to 1 no. x2 bedroom residential unit and associated external alterations to openings at basement level with provision of refuse and cycle storage and landscaping,126,126,Church Road,,,14/10/2016,01/04/2018,,,2,0,2,2,2,Approved,30/06/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/5560;
PP/2013/0754,Ealing,12/03/2013,Completed,All Other,Construction of a two-storey three-bedroom detached dwelling with associated landscaping and parking space.,37 St Andrews Road,Adj to 37,St Andrews Road,London,W3 7NF,21/07/2016,05/02/2018,,,1,0,1,1,1,Approved,14/06/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/0754;
17/P1722,Merton,,Completed,All Other,APPLICATION FOR A LAWFUL DEVELOPMENT CERTIFICATE IN RESPECT OF THE THE PROPOSED CHANGE OF USE FROM A SINGLE DWELLINGHOUSE (CLASS C3) TO A HOUSE OF MULTIPLE OCCUPATION (HMO) FOR 3 TO 6 PEOPLE (CLASS C4),,,"The Broadway, Wimbledon",,SW19 1RE,,,,,1,1,0,0,0,Completed,08/06/2017,,,
PP/2015/5710,Ealing,09/10/2015,Completed,All Other,"Conversion of single family dwellinghouse into nine-self contained flats (5 x 2 bed and 4 x 1 bed); extensions to the building including - enlargement of basement level and creation of sunken patio gardens; part single, part two storey rear extension; part single, part two storey side extension; rear roof extension (involving the enlargement of habitable roofspace) including over the proposed two storey side extension; installation of two rooflights to front roofslope; alteration of windows and doors in all elevations; balconies/roof terraces at upper-ground, first and second floor levels; provision of 2 no. off street parking spaces; provision of refuse and cycle storage facilities; associated landscaping of property.",19 Hastings Road,19,Hastings Road,London,W13 8QY,04/12/2016,01/02/2018,,,9,1,8,8,8,Approved,23/05/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/5710;
15/02219/FULL1,Bromley Custodian Code,20/07/2015,Completed,All Other,Demolition of existing dwelling and erection of detached two storey 5 bedroom dwelling with accomodation in roof space and front rear dormers.,Lucan,,Orpington Road,,BR7 6RA,12/07/2016,18/05/2017,,,1,1,0,0,0,Approved,09/09/2015,,,
P2016/1420/FUL,Islington,20/07/2016,Completed,All Other,Erection of a mansard roof extension to create a self contained flat.,,148,Fonthill Road,London,N4 3HP,15/12/2016,12/04/2017,,,1,0,1,1,1,Approved,15/12/2016,,,
PP/2015/1002,Ealing,16/02/2015,Completed,All Other,Construction of an additional storey on top of two three storey buildings (resulting in two 4-storey buildings) to provide 5 additional self-contained flats (3x two bedrooms and 2x one bedrooms) and associated cycle and bin storage and amenity space (balconies),1-16 Badminton Close,1-16,Badminton Close,Northolt,UB5 4NA,18/01/2016,07/03/2019,,,5,0,5,5,5,Approved,31/07/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/1002;
P2016/4714/COLP,Islington,30/11/2016,Commenced,All Other,Certificate of Lawfulness in connection to the conversion of the property from two flats to its original use as a single family dwelling house.,,6,Francis Terrace Mews,London,N19 5PW,,,,,1,2,-1,0,1,Comment Issued,14/02/2017,,,
PP/2014/3154,Ealing,08/07/2014,Completed,All Other,"Construction of first and second floor levels (with accommodation in roofspace) to create four self-contained flats (1 x 2 Bedroom flat , 2 x 1 bedroom flats and a. studio flat); associated internal alterations at ground floor level to provide new stairwell; and external alterations to shopfront",90 South Road,90a,South Road,Southall,UB1 1RD,10/12/2016,21/03/2018,,,4,0,4,4,4,Approved,05/08/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/3154;
H/03860/13,Barnet,28/08/2013,Completed,All Other,"Reserved matters application seeking approval of appearance, landscaping, layout and scale for Phase 3 of Mill Hill East development pursuant to Outline planning permission reference H/04017/09 dated: 22/9/2011 involving the erection of 138 units 7 x 5 bedroom houses, 41 x 4 bedroom houses, 47 x 3 bedroom houses, 26 x 2 bedroom apartments and 17 x 1 bedroom apartments together with details to discharge the requirements of: Conditions 5 (Reserved matter details), 8 (Affordable housing), 12 (Noise Survey along Boundary with IBSA House), 26(Access points), 27 (Details of Estate Roads), 29(Internal access roads), 35 (Petrol/oil interceptors), 48(Open space), 52 (Children's playing space), 57 (Boundary treatment/buffer), 70 (Home standards), 80 (Sustainable homes), 83 (Grey water/rainwater recycling),85 (Green/brown roofs).",Millbrook Park (Former Inglis Barracks) Phase 3,,,Mill Hill,NW7 1PZ,01/08/2016,01/01/2018,,,138,0,138,138,138,Approved,18/11/2013,,,
161622HH,Ealing,18/04/2016,Completed,All Other,"Conversion of dwelling house into two residential flats (2 x 2 bedroom); single storey front extension; with associated car parking, refuse storage and amenity space.",24 Ramsey Close,24,Ramsey Close,Greenford,UB6 0SU,30/09/2016,17/02/2018,,,2,1,1,1,1,Approved,24/06/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/161622HH;
PP/2014/0152,Ealing,12/02/2014,Completed,All Other,"Redevelopment to provide a four-storey mixed used building comprising a dental surgery (Use Class D1) and 4 self-contained flats (1 x 1 bed and 3 x 2 bedrooms) with cycle parking, refuse, hard and soft landscaping following demolition of the existing pre-fabricated pods",59 - 63,59-63,Summerlands Avenue,London,W3 6EW,11/01/2016,01/03/2018,,,4,1,3,3,3,Approved,15/04/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/0152;
P160317,Ealing,12/01/2016,Completed,All Other,"Conversion of existing building to create six flats (4 x 1 bedroom and 2 x 2 bedroom); basement extension incorporating front and rear lightwells, with external staircases; single storey side/rear infill extension (involving conversion of roofspace to habitable use) and installation of 6 rooflights; external alterations to side and rear elevations.",1 Mount Park Crescent,1,Mount Park Crescent,London,W5 2RN,10/02/2017,28/11/2017,,,6,4,2,2,2,Approved,10/02/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/P160317;
PP/2014/2274,Ealing,24/04/2014,Completed,All Other,"Single storey rear extension and associated patio area, the installation of an obscure glazed side-facing window, and the continued use of the ground floor of 53 Mayfield Gardens as a self-contained flat.",53 Mayfield Gardens,53,Mayfield Gardens,London,W7 3RB,18/01/2016,01/04/2018,,,1,0,1,1,1,Approved,23/01/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2274;
163637FUL,Ealing,02/08/2016,Completed,All Other,Conversion of two self-contained residential units (2x2 bed) to 4-bedroom single family dwellinghouse; part single/part two storey rear extension,78 The Ridings,78,The Ridings,London,W5 3DR,01/10/2017,01/03/2018,,,1,2,-1,-1,-1,Approved,01/12/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/163637FUL;
162999FUL,Ealing,22/06/2016,Completed,All Other,Single storey rear extension; rear roof extension to main roof slope and outrigger (involving conversion of roofspace to habitable use); and installation of three rooflights to front roofslope to create two residential unit (2x2 bed),68 Northfield Avenue,68,Northfield Avenue,London,W13 9RR,15/09/2016,01/04/2018,,,2,0,2,2,2,Approved,17/08/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/162999FUL;
PP/2015/5023,Ealing,19/10/2015,Completed,All Other,Construction of 2 x semi-detached dwellings to the side garden and external alterations to the existing dwelling at no. 117 Mansell Road.,R/O 117 Mansell Road,117,Mansell Road,Greenford,UB6 9EH,11/08/2017,26/03/2018,,,2,0,2,2,2,Approved,05/04/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/5023;
170686FUL,Ealing,13/02/2017,Completed,All Other,"Conversion of a residential building containing two slef-contained flats into one dwellinghouse; and external alterations involving the removal of the external staircase located on the side elevation from ground to first floor level, windows/door openings; single storey side (porch) extension.",6 Limes Walk,6,Limes Walk,London,W5 4LB,07/05/2017,08/11/2017,,,1,2,-1,-1,-1,Approved,07/04/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/170686FUL;
160466FUL,Ealing,29/01/2016,Completed,All Other,"Two storey rear extension and installation of six rooflights to existing rear outrigger; two storey side/rear extension; rear roof extension (involving conversion of roofspace to habitable use) and installation of five rooflights to front roofslopes; installation of two additional windows to side elevation, associated with the provision of 1 additional two bedroom flat (total of seven flats); provision of refuse storage and three car parking spaces in front forecourt; communal/private amenity space and cycle parking to rear",80 Madeley Road,80,Madeley Road,London,W5 2LX,,01/01/2018,,,1,0,1,0,1,Approved,08/04/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/160466FUL;
2775/15,Redbridge,09/07/2015,Completed,All Other,Erection of a detached four bedroom dwelling. (Summary),,286,Balfour Road,Ilford,,31/10/2016,30/05/2017,,,1,0,1,1,1,Approved,25/01/2016,,,
171709CPE,Ealing,05/04/2017,Completed,All Other,Continued use of the annexe as a single dwellinghouse.,15,15,Greenford Road,Greenford,UB6 9AU,30/05/2017,30/05/2017,,,1,0,1,1,1,Approved,30/05/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/171709CPE;
