LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
221164FUL,Ealing,17/03/2022,Completed,All Other,Change of use of single family dwellinghouse (Use Class C3) to House in Multiple Occupation for 10 persons (Large HMO) (Use Class Sui Generis) (Retrospective),65 Twyford Abbey Road,,Twyford Abbey Road,London,NW10 7ET,,25/02/2016,,,14,0,14,14,14,Refused,28/03/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/221164FUL;
13/4745/FUL,Richmond upon Thames,19/12/2013,Completed,All Other,One and two storey extensions to existing house and erection of new semi detached house with new roof to both houses. Associated car parking,,20,Holmesdale Road,,TW11 9LF,,30/11/2015,,,1,0,1,1,1,Approved,15/07/2014,,,
H/00978/14,Barnet,,Completed,All Other,Use as 4 no. self-contained flats.,190,190,"Watford Way,","London,",NW4 4UA,01/01/2015,01/10/2023,,,4,3,1,1,1,Approved,06/05/2014,,,
PP/2014/5274,Ealing,13/10/2014,Completed,All Other,"Conversion of dwellinghouse into three flats (1 x 1 bedroom, 1 x 2 bedroom and 1 x 3 bedroom); ground floor infill and first floor side extensions; two side facing and one rear facing roof dormers extensions; replacement of garage door with window; and installation of windows in side elevations",87 Gunnersbury Avenue,87,Gunnersbury Avenue,London,W5 4LR,08/12/2014,10/08/2015,,,3,1,2,2,2,Approved,08/12/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/5274;
P110524,Islington,28/04/2011,Completed,All Other,"Change of use of basement of existing dwelling house to create a one-bedroom self-contained unit, plus enlargement of existing window to rear.",,183,Southgate Road,London,N1 3LE,23/06/2014,01/10/2015,,,1,0,1,1,1,Approved,23/06/2011,,,
PP/2014/3323,Ealing,26/06/2014,Completed,All Other,First floor extension for use as a self-contained residential studio flat (Use Class C3),9A,9A,Leeland Terrace,West Ealing,W13 9HW,24/09/2014,04/06/2015,,,1,0,1,1,1,Approved,21/08/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/3323;
P/2014/3179,Ealing,17/06/2014,Completed,All Other,Conversion of a single family dwellinghouse into two self-contained residential flats (2 x 2bed flat) incorporating part single storey side extension and internal alterations,19 Court Mead,19,Court Mead,Northolt,UB5 6DH,12/09/2015,28/02/2016,,,2,1,1,1,1,Approved,12/08/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2014/3179;
PP/2013/0693,Ealing,25/02/2013,Completed,All Other,"Redevelopment of the site to provide 5 dwellinghouses with associated outdoor amenity space, parking, refuse storage and landscaping",Land Adj To,Land adjacent to 18,Chinnor Crescent,Greenford,UB6 9NU,05/08/2013,26/06/2015,,,5,0,5,5,5,Approved,05/07/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/0693;
P2014/4375/COL,Islington,22/10/2014,Completed,All Other,Certificate of lawfulness for existing use as a self contained studio flat (Class C3 use).,Flat 7,,Caledonian Road,London,N1 1DU,18/02/2016,18/02/2016,,,1,0,1,1,1,Refused,17/12/2014,,,
PP/2013/1175,Ealing,12/04/2013,Completed,All Other,"Continued use of first floor as 2 no. self-contained flats, with proposed works to create self-contained access to each unit (currently Flat 4 accessed via Flat 3) (Part retrospective application)",Flat 3 And 4,8,North Common Road,London,W5 2QB,07/06/2015,04/06/2016,,,2,1,1,1,1,Approved,07/06/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/1175;
P/2015/2597,Ealing,18/09/2015,Completed,All Other,Single-storey detached garden outbuilding for use as a one bedroom self-contained residential dwelling house (Lawful Development Certificate for Existing Development).,3A,3A,The Tee,London,W3 7NW,13/11/2015,13/11/2015,,,1,0,1,1,1,Approved,13/11/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/2597;
PP/2014/2339,Ealing,16/05/2014,Completed,All Other,"Construction of three storey (with habitable accommodation in the roof space), seven bedroom detached dwelling with integral basement; and associated parking and landscaping (following demolition of the existing house)",4 Strelley Way,4,Strelley Way,London,W3 7AR,11/07/2014,14/06/2016,,,1,1,0,0,0,Approved,11/07/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2339;
1526/11,Redbridge,31/08/2011,Completed,All Other,Two storey side extension to provide one bedroom dwelling. Vehicular access for existing dwelling at 870 High Road. Alterations to design of roof of No. 870 and insertion of first floor window on front elevation.,Land adjacent 870,870,High Road,Chadwell Heath,RM6 4HX,14/12/2012,01/06/2015,,,1,0,1,1,1,Approved,02/11/2011,,,
20/1893/FUL,London Borough of Barnet,20/04/2020,Commenced,All Other,"Full Planning Application for the construction of 5 buildings of between 5 - 8 storeys in height, with associated basement, comprising up to 189 residential units and provision of new office (B1a) and leisure (D2) floorspace and a new publicly accessible café (A3). Associated car and cycle parking, refuse storage and amenity space (SUBJECT TO DEED OF VARIATION DATED 20 NOVEMBER 2020)",National Institute For Medical Research,,The Ridgeway,Mill Hill,NW7 1AA,30/09/2018,,,,189,0,189,189,189,Approved,23/11/2020,,,
15/01527/FULL1,Bromley,,Completed,All Other,"Part one/two storey first floor side/rear extension, roof extensions including rear dormer, and conversion into 2 x three bedroom dwellings",2,2,Walsingham Road,Orpington,BR5 3BW,15/02/2016,15/02/2016,,,2,1,1,1,1,Approved,08/07/2015,,,
PP/2014/2774,Ealing,27/05/2014,Completed,All Other,Construction of a third floor comprising 4 no. self-contained flats (2 x two-bedroom and 2 x one-bedroom),154-156,154-156,Broadway,London,W13 0TL,05/10/2014,15/02/2016,,,4,0,4,4,4,Approved,05/09/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2774;
21/5595/FUL,Barnet,21/10/2021,Completed,All Other,"Demolition of existing conservatory and construction of new part single, part two storey rear extension with rooms in the roofspace to create 1no. new self-contained flat and extensions to two existing flats. New external landscaping",,240,Nether Street,Ballards Lane To Dollis Road,N3 1HU,29/01/2024,08/04/2024,,,7,6,1,1,1,Approved,15/12/2021,,,
