LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
P/2015/1947,Ealing,11/05/2015,Completed,All Other,"Variation of condition 67 (Approved Plans) of planning permission P/2008/0156 (as amended) dated 23/11/2009 for the demolition of existing buildings (part of the stable block, the Town Hall Annexe, nos. 2-12 New Broadway, existing Parish Hall and boundary wall to west and south of the church forecourt/carpark), and construction of 7 new buildings (ranging from 2 storeys to 14 storeys plus enclosed rooftop access) with retention of former fire station and part stable block, to provide maximum of 698 residential units; 9,040sqm retail (Use Class A1/A3), 139sqm office (Use Class B1), 920sqm Health Spa (Use Class D2) and 325sqm community use (Use Class D1), with basement car parking, associated public realm and landscaping and vehicular access off Longfield Avenue and pedestrian accesses from Longfield Avenue, Springbridge Road and New Broadway. Amendment to provide for internal alterations to allow for a change in number and mix of shared ownership units from 70 (28 x 1 Bed, 28 x 2 Bed and 14 x 3 Bed) to 78 (43 x 1 Bed and 35 x 2 Bed) on floors 1 - 6 of Block E",Dickens Yard And The Church Of Christ The Saviour,Dickens Yard and The Church of Christ the Saviour,New Broadway,London,W5 2XA,07/09/2015,03/03/2016,,,22,0,22,22,22,Approved,07/08/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/1947;
P/2013/2563,Ealing,24/06/2013,Completed,All Other,"Construction of an attached two storey two bedroom dwellinghouse with associated parking and amenity space, and provision of a vehicular crossover for the existing dwellinghouse (following the demolition of the existing single storey garage).",111 Burns Avenue,111,Burns Avenue,Southall,UB1 2LT,30/09/2014,03/06/2015,,,1,0,1,1,1,Approved,30/09/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2013/2563;
PP/2014/0492,Ealing,28/01/2014,Completed,All Other,"Construction of one three-bedroom dwellinghouse with associated outdoor amenity space, parking, refuse storage and landscaping",86 Ferrymead Avenue,86,Ferrymead Avenue,Greenford,UB6 9TL,04/05/2014,05/08/2015,,,1,0,1,1,1,Approved,04/04/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/0492;
P112030,Islington,31/08/2011,Completed,All Other,Demolition of the existing light industrial building (B1 Use Class) and erection of a four storey building incorporating office space (B1 Use Class) at ground floor level and residential accommodation (8 x two-bed flat and 1 one-bed flat) (C3 Use Class) on the upper floors.,,5 - 7,St Alban's Place,London,,01/01/2014,30/06/2016,,,9,0,9,9,9,Approved,14/03/2012,,,
P/2011/5047,Ealing,01/12/2011,Completed,All Other,"Redevelopment of Phases 1 and 2 of the Rectory Park Estate regeneration scheme, comprising the demolition of garages and storage sheds to the eastern side of Rectory Park Avenue and 102 residential units located at 1 to 95 (odd); 2 to 26 (even); 214 to 220 (even); and 251 to 303 (odd) Rectory Park Avenue, and the re-location of a community centre (of a minimum gross external area of 178 sqm) and the erection of 160 new residential units (37 no. 1-bedroom, 84 no. 2-bedroom, 1 no. 3-bedroom flats and 8 no. 2-bedroom and 30 no. 3-bedroom houses), together with new and altered roads and footpaths, refuse and recycling storage, cycle storage, car parking for up to 108 vehicles, public and private amenity space and associated playspace and landscaping.",1 To 95 (Odd); 2 To 26 (Even); 214 To 220 (Even); And 251 To 303 (Odd) Rectory Park Avenue,"Rectory Park Estate Regeneration, Phases 1 &",Rectory Park Avenue,,,04/12/2012,14/07/2015,,,160,102,58,58,58,Approved,11/09/2012,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2011/5047;
15/02146/FUL,London Borough of Barnet,16/04/2015,Completed,All Other,"Extension to roof including rear dormer, 6no. rear rooflights and front recessed terrace to facilitate conversion into 1no. self-contained flat",Mcfadden Court,72,Market Place,East Finchley,N2 8DG,,22/03/2016,,,1,0,1,1,1,Approved,09/06/2015,,,
P2013/3216/FUL,Islington,02/10/2013,Completed,All Other,"Erection of a second floor rear roof extension to provide an additional two-bedroom flat with an inset balcony, and alterations to the existing rear first floor flat comprising installation of an obscurely glazed window in the south elevation, creation of an inset balcony on the west elevation and infilling of an existing window on the east elevation.",Basement,,Charterhouse Buildings,London,EC1M 7AN,10/07/2015,14/12/2015,,,1,0,1,1,1,Approved,28/11/2013,,,
P2015/4404/COL,Islington,20/10/2015,Commenced,All Other,Use as three self-contained residential flats.,,38,Brecknock Road,London,,,,,,3,1,2,0,3,Comment Issued,14/12/2015,,,
13/00363/FUL,London Borough of Barking and Dagenham,30/04/2013,Completed,All Other,"Site 1: Demolition existing church/vicarage, erection part 3/4/5 storey building comprising replacement church/community centre, 19 one bedroom and 31 two bedroom flats, 9 three bedroom terraced houses, parking (part undercroft) and amenity space.,Site 2: Demolition existing garages, erection 9 four bedroom terraced houses and four bedroom replacement vicarage and associated parking spaces.,Site 3: Erection 4 storey block comprising 4 one bedroom and 15 two bedroom flats and associated parking and amenity space.",St Marks Redevelopment Sites,,ROSE LANE,,,01/11/2013,18/12/2015,,,88,1,87,87,87,Approved,23/07/2013,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=15538
PP/2012/5215,Ealing,18/01/2013,Completed,All Other,Construction of a single storey two bedroom residential unit to rear of existing property,39 Dormers Wells Lane,39,Dormers Wells Lane,Southall,UB1 3HX,01/11/2014,10/07/2015,,,1,0,1,1,1,Approved,29/11/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/5215;
PP/2015/3565,Ealing,14/09/2015,Completed,All Other,"Retention of three one-bedroom flats, and one studio flat (Lawful Development Certificate for Existing Development).",51,51,The Broadway,London,W5 5JN,13/01/2016,13/01/2016,,,4,0,4,4,4,Approved,13/01/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/3565;
PP/2013/3744,Ealing,05/09/2013,Completed,All Other,Conversion of one self-contained unit into two self-contained units,126,126,Church Road,,,30/11/2013,11/01/2016,,,2,1,1,1,1,Approved,31/10/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/3744;
PP/2010/4585,Ealing,24/11/2010,Completed,All Other,"Redevelopment (following demolition of Westel House) to provide a mixed-use development of three buildings (Block A - up to 21 storeys: 117sqm of flexible floor space (Use class A1/A3) to ground floor; first to nineteenth comprising 96 residential units and twentieth floor viewing platform; Block B - 9 storeys comprising of affordable residential units; Block C - 9 storeys plus plant comprising hotel (floorspace of 4,634 sqm) and ancillary facilities (Use class C1)) to provide a total of 129 residential units); including new landscaped public realm, children's playspace, basement car parking, cycle parking at basement level and vehicular access off Craven Road via a combined access. Alterations to west side of Craven Road to create one emergency access. Removal of two existing vehicular accesses on Uxbridge Road frontage. Provision of 10 surface parking spaces in connection with approved residential development to the north",Westel House,Westel House 32-38,Uxbridge Road,London,W5 2BS,02/12/2012,06/01/2016,,,129,0,129,129,129,Approved,14/07/2011,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2010/4585;
PP/2012/2232,Ealing,03/07/2012,Completed,All Other,Detached house with parking provision,Rear Of 88,Rear of 88,Gunnersbury Avenue,London,W5 4HA,25/01/2013,06/11/2015,,,1,0,1,1,1,Approved,17/08/2012,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/2232;
13/00444/FULL1,Bromley,12/02/2013,Completed,All Other,Detached two storey 2 bedroom dwelling,305 Main Road Biggin Hill TN16 3JJ,,,,,19/11/2013,22/05/2015,,,1,0,1,1,1,Approved,24/10/2013,,,
P/2007/4416,Ealing,25/09/2007,Completed,All Other,"Part single and two storey side and rear extensions, roof extensions and alterations to the office building on south side of yard to form 1 x 5 bedroom detached dwellinghouse, together with the construction of 9 x 3 storey dwellinghouses (7 x 5 bedroom and 2 x 4 bedroom) and the formation of vehicular access from Poplar Avenue, and a gated pedestrian access to the Canal towpath, an internal access road, landscaping and erection of fencing, railings and walls and erection of detached wash/shower room adjacent to towpath to be used as a sanitary facility (Following the demolition and removal of workshop building, portable buildings, structures and tank within the yard, and part single and two storey side and rear extensions to office building)",Norwood Yard,Norwood Yard,Poplar Avenue,,,12/03/2013,01/08/2015,,,10,0,10,10,10,Approved,12/05/2010,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2007/4416;
P122113,Islington,21/09/2012,Completed,All Other,"Conversion of undercroft garages beneath 1-52 Trefil Walk into 17 no 2 bedroom flats and 1 no 3 bedroom flat, as well as the refurbishment and reconfiguration of an existing community centre.",,1,Trefil Walk,London,N7 0SX,01/01/2014,01/11/2015,,,18,0,18,18,18,Approved,10/06/2013,,,
PP/2014/0001,Ealing,14/01/2014,Completed,All Other,First floor side extension and ground floor side/rear extension to provide a new self-contained two-storey residential dwelling.,163A Studland Road,163a,Studland Road,London,W7 3QY,11/03/2015,12/11/2015,,,1,0,1,1,1,Approved,11/03/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/0001;
PP/2013/4595,Ealing,18/10/2013,Completed,All Other,"Conversion of dwelling-house into two self contained flats including excavation of basement and conversion of the existing garage into habitable room, creation of lightwells to the side, rear and front elevation with part alteration of roof from hip to gable end (involving conversion of roofspace into habitable use), rear roof extension, installation of two roof lights to front roofslope, frist floor rear extantion and alterations to openings.",26 Kingsbridge Avenue,26,Kingsbridge Avenue,London,W3 9AJ,01/04/2014,25/09/2015,,,2,1,1,1,1,Approved,13/12/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/4595;
14/00668/FULL1,Bromley Custodian Code,04/03/2014,Completed,All Other,"Reconfiguration of existing roof to provide 2 x one bedroom flats, additional parking space and bin storage, plus provision of three external balconies to rear elevation.",,43,Copers Cope Road,,BR3 1NJ,,02/06/2015,,,2,0,2,2,2,Approved,30/04/2014,,,
P041872,Islington,01/09/2004,Completed,All Other,"Erection of 36 storey building and two eight storey buildings to provide 308 residential units up to 845 sq.m. of mixed use commercial (Use Class A1/A3/B1/D2), basement car parking for up to 78 cars and ancillary plant rooms. The application also includes the creation of a new pedestrian/vehicular access from Graham Street and new open space accessible to the public.",,261,City Road,London,EC1V 1LE,20/06/2011,07/07/2016,,,306,0,306,306,306,Approved,15/12/2006,,,
HGY/2015/0213,Haringey,,Completed,Prior Approval,Prior approval for change of use from B1 (a) (offices) to C3 (residential),339 Cara House,"Cara House, 339A",Seven Sisters Road,,N15 6RD,25/05/2015,01/09/2015,,,4,0,4,4,4,Approved,17/03/2015,,,
14/3825/FUL,Richmond upon Thames,10/09/2014,Completed,All Other,Proposed single storey side/rear extension and change of use of part of existing ground floor retail unit to facilitate the formation of a 1 bedroom flat.(REVISED DESCRIPTION),,153,St Margarets Road,,TW1 1RG,,05/11/2015,,,1,0,1,1,1,Approved,12/03/2015,,,
PP/2013/5502,Ealing,19/12/2013,Completed,All Other,"Change of Use of first and second-floors of building from office (B1a use class) to residential (C3 Use Class) Roof extension to rear (main) roofslope; rear roof extension to rear outrigger roofslope and installation of seven rooflights to rear roofslope (including outrigger roofslope); restoration/alteration of front and rear fatade incorporating additional windows to side elevation at first and second floor level and reconfiguration of rear side window at first floor level, reconfiguration and installation of five new windows at rear elevation incorporating Internal and external alteration and conversion of first and second floor office space into seven residential units (1 x studio, 5 x 1bed and 1 x 2 bed flats) and refuse storage.",225 - 227 High Street,225-227,High Street,London,W3 9BY,13/02/2015,03/08/2015,,,7,0,7,7,7,Approved,13/02/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/5502;
PP/2013/5461,Ealing,17/12/2013,Completed,All Other,"Redevelopment of the site to construct a part three, part four storey building comprising 36 one-bedroom flats, on site disabled car parking and secured cycle parking spaces, communal garden, allotment areas and refuse/recycling storage",Former Albert Dane Centre,"Former Albert Dane Centre, 19-21",Western Road,Southall,UB2 5JL,01/10/2014,08/09/2015,,,36,0,36,36,36,Refused,09/04/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/5461;
PP/2014/2358,Ealing,20/05/2014,Completed,All Other,"Two storey side extension to create a self-contained two-bedroom dwellinghouse; one off-street parking space, vehicular access, refuse and recycling facility and amenity space",2 Epsom Close,2,Epsom Close,Northolt,UB5 4BH,17/09/2019,15/02/2016,,,1,0,1,1,1,Approved,15/07/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2358;
PP/2014/2069,Ealing,02/06/2014,Completed,All Other,"Part single storey, part two storey side extension to provide a 1 x 2 bed residential house, attached to the 67 Stanhope Road.",67 Stanhope Road,67,Stanhope Road,Greenford,UB6 9EA,28/07/2015,03/04/2016,,,1,0,1,1,1,Approved,28/07/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2069;
PP/2014/2151,Ealing,07/05/2014,Completed,All Other,Two storey side extension and front porch extension to provide a self-contained dwelling and single storey rear extension and front porch extension to existing house,7 Lee Road,7,Lee Road,Greenford,UB6 7BS,03/02/2015,13/02/2016,,,1,0,1,1,1,Approved,02/07/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2151;
PP/2015/2091,Ealing,20/04/2015,Completed,All Other,Single storey rear extension; rear roof extension; and conversion of single dwelling into 2x residential units,481,481,Uxbridge Road,Southall,UB1 3ET,15/08/2015,18/03/2016,,,2,1,1,1,1,Approved,15/06/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/2091;
PP/2014/4949,Ealing,09/10/2014,Completed,All Other,"Conversion of dwelling into 2 flats (1x1 bed and 1x2 bed), including a single-storey rear extension.",44,44,Avenue Road,Southall,UB1 3BW,04/12/2014,09/11/2015,,,2,1,1,1,1,Approved,04/12/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/4949;
12/P1910,Merton,14/08/2012,Completed,All Other,CONSTRUCTION OF A TWO STOREY DWELLING AT THE REAR OF 266 THE BROADWAY,"Land R/O, 266",6,Bridges Road Mews,Wimbledon,SW19 1FQ,10/07/2014,10/07/2015,,,1,0,1,1,1,Approved,22/05/2013,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=12/P1910
PP/2015/0991,Ealing,27/01/2015,Completed,All Other,Conversion of dwellinghouse into 2 x self contained flats; single storey side extension and demolition of existing outbuilding; formation of associated cycle storage provision and refuse storage,27,27,Whitehall Gardens,London,W3 9RD,07/04/2015,13/01/2016,,,2,1,1,1,1,Approved,24/03/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/0991;
PP/2014/2694,Ealing,03/06/2014,Completed,All Other,Conversion of single family dwellinghouse into 2 self-contained flats (1 x one-bedroom and 1 x two-bedroom),308,308,Windmill Road,Ealing,W5 4UR,,15/02/2016,,,2,1,1,0,2,Approved,24/07/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/2694;
PP/2012/1135,Ealing,27/03/2012,Completed,All Other,"Construction of three pairs of semi-detached houses (six in total); (following demolition of existing engineering works) with associated parking (6 spaces); refuse, amenity space and cycle parking",Nodis Works,Nodis Works,Julien Road,,,01/02/2014,20/12/2015,,,6,0,6,6,6,Approved,22/05/2012,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/1135;
P121361,Islington,30/07/2012,Completed,All Other,"Erection of a four storey building plus basement to provide retail floorspace at basement and ground floor level, with six residential units (comprising three x two-bedroom units and three x one-bedroom units) provided on the upper floors.",,252 - 254,York Way,London,N7 9QQ,09/11/2012,10/08/2015,,,6,0,6,6,6,Approved,25/10/2012,,,
PP/2013/2011,Ealing,07/06/2013,Completed,All Other,Construction of two-storey attached house to the side of No.448 and boundary treatment,448 Allenby Road,Adj to 448,Allenby Road,Southall,UB1 2HT,02/08/2014,02/02/2016,,,1,0,1,1,1,Approved,02/08/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/2011;
P/2014/4431,Ealing,21/08/2014,Completed,All Other,"First floor side extension; single storey rear extension; rear roof extension; incorporating five rooflights to front roofslope, insertion of 2 side windows demolition of existing rear outbuilding and front wall, construction of new front walls with railings and construction of new front walls with railings and construction of refuse storage in conjunction with the enlargement of the existing flats and creation of 1 new (1 x 1 bedroom flat)",25 Brougham Road,25,Brougham Road,London,W3 6JD,13/10/2014,15/07/2015,,,1,0,1,1,1,Approved,16/10/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2014/4431;
P/2015/0774,Ealing,29/01/2015,Completed,All Other,"Single storey extension to rear; extension to existing basement incorporating the conversion of dwelling into 7 self contained flats (3 x Studio Flats, 2 x 1 Bedroom Flat and 2 x 2 Bedroom Flats)",18 Twyford Avenue,18,Twyford Avenue,London,W3 9QA,29/11/2016,01/10/2017,,,7,1,6,6,6,Approved,30/03/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/0774;
14/02357/FUL,London Borough of Lambeth,08/05/2014,Completed,All Other,Demolition of two semi-detached dwelling houses and erection of 3 x 4 bedroom and 1 x 3 bedroom dwelling houses and associated landscape works (Re-submission),2 And 3 Kings Mews,,Development Control Pseudo Street,,SW4 8BA,31/01/2016,31/01/2016,,,4,2,2,2,2,Approved,29/01/2015,,,
PP/2015/3440,Ealing,29/06/2015,Commenced,All Other,Conversion of garage to use as a self contained dwelling (Lawful Development Certificate For An Existing Development);,Rear Of,335,Horn Lane,London,W3 0BX,,,,,1,0,1,0,1,Approved,24/08/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/3440;
P1918.11,Havering,,Commenced,All Other,"Construction of 2 part eight, part nine storey blocks containing a total of 141 flats; associated car, cycle & motor cycle parking; provision of relocated access from South Street; provision of landscaped pedestrian & cycle route linking South Street & Rush Green Road; formation of maintenance access ramp from South Street to the River Rom Culvert; and the stopping-up of no longer required highway land.","Site at Roneo Corner, junction of","Site at Roneo Corner, junction of",Rom Valley Way,Romford,RM1 2AR,05/02/2013,,,,282,0,282,282,282,Approved,30/03/2012,,,
P/2013/4132,Ealing,25/09/2013,Completed,All Other,"Reserved matters application (conditions 2 and 4) for Phase 3.1 of the Acton Gardens master plan detailing Landscaping, Appearance, Scale, Access and Layout for a part eight to ten storey building containing 124 units (42 one-bedroom, 52 two-bedroom and 30 three-bedroom flats) and podium-level communal gardens; 200sq.m floor space in A1 (retail) / A3 (restaurants / cafes) / B1 (Business) / D1 (Non-residential institutions) use classes; reconfiguration of the public highway; 38 off-street car parking spaces and 22 on-street car parking spaces; public realm landscaping; refuse and bicycle storage, along with the partial discharge of conditions 5 (public realm landscaping), 6, (part) (Energy Strategy), 11 (part) (noise mitigation measures), 18 (part) (tree protection), 19 (refuse & recycling enclosures), 22 (rainwater / greywater), 25 (boundary treatments), 26 (part) (c) and (d) (Secured by Design) pursuant to outline planning permission LBE ref: P/2012/0708 dated 13/08/2013.",Phase 3.1 South Acton Estate,Phase 3.1 Wodehouse Court and Woolf Court,Vincent Road,London,W3 8TU,17/06/2014,09/11/2016,,,124,107,17,17,17,Approved,17/03/2014,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2013/4132;
05/03149/RECON,LB Bromley,12/02/2020,Completed,All Other,Removal of condition 2 of permission 05/03149/FULL6 granted for the construction of a detached garage to allow conversion of part of the garage to habitable accommodation for use as a 'granny annexe' ancillary to the host dwelling at No. 74 West Common Road. RETROSPECTIVE,,74,West Common Road,Hayes,BR2 7BY,01/01/2006,01/06/2015,,,1,0,1,1,1,Approved,12/06/2020,,,
P111727,Islington,25/07/2011,Completed,All Other,Erection of a two-storey roof extension to provide a three-bedroom dwelling above existing three storey office building together with cycle/waste store and external alterations at ground level.,First Floor Right,,Baker's Row,London,,01/01/2014,01/10/2015,,,1,0,1,1,1,Approved,13/03/2012,,,
06/01284/OUT,London Borough of Barking and Dagenham,05/02/2007,Commenced,All Other,"Retention of the main building and conversion to 106 residential units, demolition of all remaining buildings and construction of 936 houses and flats (between 2 and 10 storeys in height), together with the creation of a new access at Lodge Avenue, associated landscaping and car parking (full details) and the erection of a primary school (outline proposal with details reserved for subsequent approval)",Uel Development Site,University Of East London,LONGBRIDGE ROAD,Essex,,28/09/2009,,,,1042,0,1042,1042,860,Approved,17/02/2009,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=21782
PP/2015/0849,Ealing,06/02/2015,Completed,All Other,Two storey (end of terrace) single dwelling family house attached to No 17 (following demolition of existing single storey garage and garden shed) associated soft and hard landscaping and vehicular access from Lilac Gardens.,17 Lilac Gardens,17,Lilac Gardens,London,W5 4LD,13/06/2015,24/12/2015,,,1,0,1,1,1,Approved,13/05/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/0849;
PP/2013/2200,Ealing,06/06/2013,Completed,All Other,"Redevelopment of site to provide a three storey building with a replacement church and meeting rooms at ground floor level (D1 use), together with 4 x 2 bed flats, and 6 x 1 bed flats at first and second floor level, 1 x 2 storey 4 bed vicarage located in the northeast corner of the site, a two storey terrace containing 2 x 3 bed houses & 1 x 2 bed house in the northern part of the site, and a two storey terrace of 4 x 3 bed houses fronting Federal Road (10 affordable units and 8 private market units), a new vehicular access in the central part of the site, 27 car parking spaces, including 3 disabled bays, refuse bay and landscaping (following the demolition of the existing buildings)",St Mary With St Nicholas Church,St Mary with St Nicholas Church,Federal Road,Greenford,UB6 7AP,18/09/2014,23/09/2015,,,18,1,17,17,17,Approved,18/09/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2013/2200;
PP/2012/2422,Ealing,25/06/2012,Completed,All Other,"Construction of 38 residential units (18 residential flats and 20 houses) arranged over 2 to 3 storeys, together with associated refuse storage, landscaping and car parking facilities",Dovehouse Court,Dovehouse Court,Kittiwake Road,,,10/05/2014,07/09/2015,,,38,0,38,38,38,Approved,10/05/2013,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/2422;
