LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
19/03252/GPDO,Croydon,11/07/2019,Completed,Prior Approval,"Use of lower ground floor, part ground floor, and floors one to five as 79 studio apartments (C3 residential Use Class).",Vistec House,185,London Road,,CR0 2WN,01/04/2020,01/03/2023,,,79,0,79,79,79,Approved,14/08/2019,,,
P2020/0781/COLP,Islington,12/03/2020,Completed,All Other,"Certificate of Lawfulness (Proposed) to confirm that works relating to the development, approved under planning permission P062150 comprising 'Demolition of single storey store and workshop. Construction of new building comprising 1 x 2 bed flat at lower ground floor, 1 x 3 bed flat at ground floor, 1 x 1 bed flat at first floor and 1 maisonette at second and third floor levels', were lawfully commenced prior to 06/12/2009 in accordance with Condition 1 of P062150, and therefore, that further works to complete the balance of the approved development can be lawfully carried out.",Vacant Land,88,Tollington Way,London,,15/07/2022,15/07/2022,,,3,0,3,3,3,Comment Issued,02/07/2020,,,https://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=486545&XSLT=/Northgate/PlanningExplorer/SiteFiles/Skins/Islington/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=&DAURI=PLANNING
20/01763/FUL,London Borough of Newham,08/09/2020,Completed,All Other,"Construction of a single storey rear extension, loft conversion with rear dormer and conversion of existing 6-bedroom Class C4 HMO into Sui Generis HMO",,7,Flint Close,Stratford,E15 4QP,,31/03/2023,,,0,1,-1,-1,-1,Refused,03/11/2020,,,
210162FUL,Ealing,16/11/2020,Completed,All Other,"Conversion of dwellinghouse into two self-contained flats (1x2 bed and 1x1 bed); provision of associated parking, bicycle stands and refuse storage",2 Lewes Close,,Lewes Close,Northolt,UB5 4DG,23/08/2021,15/07/2022,,,2,1,1,1,1,Approved,08/03/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/210162FUL;
22/02047/LDCE,Bexley,05/10/2022,Completed,All Other,Lawful Development Certificate (Existing) for the conversion of single dwellinghouse Into 2 x 1 bedroom self-contained apartments,,30,Maximfeldt Road,,DA8 1AH,17/10/2022,17/10/2022,,,2,1,1,1,1,Approved,17/10/2022,,,
212502FUL,Ealing,09/04/2021,Completed,All Other,Conversion of a single dwelling into two self-contained residential units,363 Horn Lane,,Horn Lane,London,W3 0BX,20/09/2021,27/02/2023,,,2,0,2,2,2,Approved,20/09/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/212502FUL;
22/01426/CEU,Enfield,26/04/2022,Completed,All Other,Use of premises as 2no. self-contained flats.,,133,St Marys Road,,N9 8NR,27/10/2022,27/10/2022,,,2,0,2,2,2,Approved,27/10/2022,,,
21033/APP/2020/778,Hillingdon,03/03/2020,Completed,All Other,Erection of a 5 bed dwelling with habitable roof space and associate parking and amenity space and boundary wall including the demolition of existing bungalow and outbuildings,36 VINE LANE,,,,UB10 0BA,27/05/2020,29/04/2022,,,1,1,0,0,0,Approved,29/04/2020,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=21033/APP/2020/778
2020/0953,Hackney,18/03/2020,Completed,All Other,Erection of two-storey rear extension to replace existing outrigger with rear terrace at first floor level; erection of roof extension with front terrace at second floor level; installation of new shopfront and rear elevational alterations to facilitate the provision of additional A2 floor space at ground floor level and two residential units (1 x 1 bed and 1 x studio) on the upper floors.,,51,51 Stoke Newington Church Street London N16 0AR,,N16 0AR,11/08/2022,31/03/2023,,,2,1,1,1,1,Approved,13/05/2020,,,
21/P2946,Merton,07/09/2021,Completed,Prior Approval,"PRIOR APPROVAL FOR CHANGE OF USE FROM COMMERICAL, BUSINESS AND SERVICE (USE CLASS E) TO DWELLINGHOUSE (USE CLASS C3).",Dawood House,1,Caxton Road,London,SW19 8SJ,01/09/2022,01/03/2023,,,9,0,9,9,9,Approved,18/05/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P2946
21/P4533,Merton,23/12/2021,Completed,All Other,"ERECTION OF GROUND FLOOR EXTENSION AND ALTERATIONS TO REAR ROOF FORM TO CREATE ROOF TERRACES TO FACILITATE THE USE OF THE BUILDING AS 4 FLATS (2 X 1B/2P, 1 X 1B/1P AND 1 X 2B/3P)",,584,Kingston Road,Raynes Park,SW20 8DN,19/05/2022,01/04/2023,,,4,1,3,3,3,Approved,14/03/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P4533
20/01711/PAR2R,Royal Borough of Kingston (LA Code),20/07/2020,Commenced,Prior Approval,Change of use from class A1 (Shop) to class C3 (residential) (3 flats).,Outbuilding To Rear Of180 - 186 Kingston RoadNew MaldenKT3 3RD,,,,,18/11/2021,,,,3,0,3,3,3,Approved,14/09/2020,,,
20/02709/FUL,Lambeth,27/08/2020,Completed,All Other,Amalgamation of 2 x 3 bedroom units to form 1 x 5 bedroom unit.,Bridge House,18,St George Wharf,,SW8 2LQ,01/03/2022,23/02/2023,,,1,2,-1,-1,-1,Approved,22/10/2020,,,
200318,Waltham Forest,30/01/2020,Completed,All Other,"Lawful Development Certificate (Existing)-Use of property as 3 x 1 bedroom self-contained flats at basement, ground and first floor level.","90 North Birkbeck Road,",,,,,16/04/2020,31/03/2023,,,3,0,3,3,3,Approved,16/04/2020,,,
2022/3018,Hackney,22/12/2022,Completed,All Other,Existing use of the property as 2x self-contained flats (C3),,49,LINTHORPE ROAD,HACKNEY,N16 5QT,01/04/2023,01/04/2023,,,2,1,1,1,1,Approved,16/02/2023,,,/planning/index.html?fa=getApplication&id=75387
23/00362/LE,London Borough of Croydon,30/01/2023,Completed,All Other,Use of the property as a HMO (C4 use),,18,Eldon Park,South Norwood,SE25 4JQ,14/03/2023,14/03/2023,,,1,1,0,0,0,Approved,14/03/2023,,,
23/00354/FUL,London Borough of Newham,15/02/2023,Completed,All Other,"Retrospective planning application for demolition of existing dilapidated, disused workshop and creation of two new dwellings in land to the rear of 74 Stafford Road to form a new mews development comprising of 1x1 bedroom & 1x2 bedroom house.",,74,Stafford Road,Forest Gate,E7 8NN,,31/03/2023,,,2,0,2,2,2,Approved,27/04/2023,,,
19/P2945,Merton,09/08/2019,Completed,All Other,ERECTION OF A SINGLE STOREY EXTENSION TO EXISTING GROUND FLOOR FLAT (KNOWN AS 9C CLARENDON ROAD) INCLUDING ALTERATIONS TO ELEVATIONS (DOORS AND WINDOWS). DEMOLITION OF EXISTING GARAGE AND ERECTION OF A NEW TWO STOREY DWELLINGHOUSE WITH PRIVATE COURTYARD.,,9C,Clarendon Road,Colliers Wood,SW19 2DX,31/08/2020,01/07/2022,,,1,0,1,1,1,Approved,04/12/2019,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=19/P2945
20/01199/FUL,Enfield,21/04/2020,Completed,All Other,"Redevelopment of site and erection of a block of 6 self contained units together with associated landscaping, parking, and relocation of the vehicular access on Oak Avenue.",1A Oak Avenue And 158 The Ridgeway Enfield EN2 8LB,,,,EN2 8LB,01/04/2022,31/03/2023,,,6,2,4,4,4,Approved,29/01/2021,,,
22/AP/2284,London Borough of Southwark,27/06/2022,Completed,All Other,Certificate of Lawfulness (existing) for use as a residential dwelling (C3 use class).,"Glenrose Court, Flat 2",217,Long Lane,,SE1 4PA,,08/09/2022,,,1,0,1,1,1,Approved,09/08/2022,,,
2021/02468/FUL,Hammersmith & Fulham,19/08/2021,Completed,All Other,"Erection of single storey extensions, to the side and rear of the existing back addition following the demolition of existing conservatory; formation of a storage room and bicycle store at basement level to the front of the property; conversion of existing flat into 1 x 1 bedroom and 1 x 2 bedroom self-contained flats at basement and ground floor level.",Maisonette Basement And Ground Floors 11 Ongar Road London SW6 1RL,,,London,SW6 1RL,04/01/2022,15/06/2022,,,2,1,1,1,1,Approved,25/10/2021,,,
P/3493/22,Harrow,05/10/2022,Completed,All Other,Change of use from Dwellinghouse (Class C3) to Residential Care Home (Class C2) for upto Two Children with Special Educational Needs and Disabilities (SEND),,194,Exeter Road,Harrow,HA2 9PJ,29/11/2022,29/11/2022,,,0,1,-1,-1,-1,Approved,29/11/2022,,,http://site.com?appref=P/3493/22-or-1222703
19/00230/FUL,Lambeth,01/03/2019,Completed,All Other,"Erection of a roof extension to provide 2 additional 2 bed flats with front balconies, together with replacement of shop fronts and all windows/doors.",,244,Brixton Hill,,SW2 1HF,01/04/2022,08/08/2022,,,2,0,2,2,2,Refused,26/04/2019,,,
23/00446/CLEUD,Westminster,24/01/2023,Completed,All Other,Confirmation that the previous Fourth Floor caretakers flat has been in Class E Office Use (formally B1 of the Use Classes Order prior to September 2020) for a continuous period of more than 10 years and is therefore lawful.,Fourth Floor Rear Flat,16,Mortimer Street,,W1T 3JL,,10/03/2023,,,0,1,-1,-1,-1,Approved,10/03/2023,,,
19/01218/FULL,Westminster,18/02/2019,Completed,All Other,"Erection of a mansard roof extension at rear second floor level on Beaumont Mews building to create a self contained flat (Class C3). (Part of a land use swap with Blocks A-C Ossington Buildings and Ground floor of Moxon House and Osbourne House, Moxon Street).",,50,Weymouth Street,,W1G 6NT,10/02/2020,01/04/2023,,,1,0,1,1,1,Approved,20/08/2019,,,
46104/APP/2019/2606,Hillingdon,06/08/2019,Completed,Prior Approval,Change of use from B1(a) Offices to C3 Residential (Prior Approval) to provide 28 residential units.,"ALLPORT HOUSE, COWLEY BUSINESS PARK",Allport House,HIGH STREET,,UB8 2AN,31/12/2019,03/03/2023,,,28,0,28,28,28,Approved,27/09/2019,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=46104/APP/2019/2606
21/P2734,Merton,19/07/2021,Completed,All Other,ERECTION OF A TWO STOREY SIDE EXTENSION AND CONVERSION OF SINGLE DWELLING HOUSE INTO A 1 x 3 BED AND 2 x 2 Bed SELF CONTAINED FLATS,,41A,Manor Road,Mitcham,CR4 1JG,01/02/2022,01/07/2022,,,4,1,3,3,3,Approved,21/01/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P2734
22/05077/ELUD,Bromley Custodian Code,28/12/2022,Completed,All Other,Existing use of dwelling as House in Multiple Occupation (Use Class C4) LAWFUL DEVELOPMENT CERTIFICATE (EXISTING),,105,Ridgeway Drive,,BR1 5DB,17/03/2023,17/03/2023,,,1,1,0,0,0,Approved,17/03/2023,,,
2022/3895,Wandsworth,12/10/2022,Completed,All Other,Continued use as a single dwelling.,,15,Chartfield Avenue,London,SW15 6DX,06/12/2022,06/12/2022,,,1,3,-2,-2,-2,Approved,06/12/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/3895
P2020/0602/FUL,Islington,10/03/2020,Completed,All Other,Subdivision of existing four bedroom maisonette apartment into three new self-contained flats (2 x 2-beds & 1 x 1-bed) including the erection of a new mansard roof extension and other associated external alterations.,,38 - 39,Chapel Market,London,N1 9EN,30/08/2022,30/08/2022,,,3,1,2,2,2,Approved,16/10/2020,,,
HGY/2018/2223,Haringey,,Commenced,All Other,"Demolition works and clearance of existing site to provide a mixed-use development comprising 6 buildings up to 38 storeys in height, which together with pavilion and basement accommodation will provide up to 104,053m of floorspace (GIA), comprising residential (Use Class C3) (up to 1,036 units), retail (Use Class A1-A4), health centre (Use Class D1), office (Use Class B1), leisure (Use Class D2) parking and servicing areas, hard and soft landscaping (including the provision of a new public square), highways works, creation of new vehicular accesses and the realignment of Station Road, decentralised energy network works and other associated works.",Image House,"Strategic Development Partnership (SDP) Sites Welbourne, Nor",Station Road,Haringey,N18 9JT,04/01/2020,,,,1030,0,1030,1030,410,Approved,27/03/2019,,,
P2019/3632/FUL,Islington,05/12/2019,Completed,All Other,"Proposed alterations to the internal layouts of existing residential units to result in the reduction of C3 units from 13 to 5. Reposition and increase size of existing windows at part rear and side (rear) elevations. New doors to side (rear) elevation at basement, 1st, 2nd and 3rd floors and Reposition of existing door to the front elevation at basement level and rear side elevation at ground level.",,525,Holloway Road,London,,30/11/2020,11/07/2022,,,5,13,-8,-8,-8,Approved,28/02/2020,,,
213371FUL,Ealing,29/04/2021,Completed,All Other,"Conversion of existing building from 3 self-contained into 5 self-contained flats following single storey side/rear (wraparound) extension; extension to existing basement; part rear extension to first floor; alteration of roof from hip to gable end (following removal of side dormer extension and chimney); reconfiguration of the layout of all flats; alteration to existing rear dormer extension to roof second floor terrace installation of rear dormer roof extension to second floor flat; replacement of existing front rooflight with conservation type of rooflight, replacement of all windows and door in timber, refurbishment of existing facade and replacement of existing side gate; associated landscaping, bin storage, bicycle parking, amenity space along with proposed paving and part raised platform to rear of property, following demolition of existing outbuildings.",8 Heathfield Road,,Heathfield Road,London,W3 8EL,01/09/2022,30/06/2023,,,5,3,2,2,1,Approved,09/02/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/213371FUL;
20/0373/PS192,Richmond upon Thames,10/02/2020,Completed,Prior Approval,Change of use of part ground and upper floors from A2 (Financial Services) use class into C3 (Residential).,,347,Upper Richmond Road West,East Sheen,SW14 8RH,01/05/2021,30/06/2022,,,2,0,2,2,2,Approved,18/02/2020,,,
19/00247/FUL,London Borough of Bexley,18/02/2019,Completed,All Other,"First floor rear extension to existing dwelling and part one/part two storey side extension to provide 1 x 2 bedroom dwelling, associated parking and amenity space and alterations to vehicular crossovers.",,1,Park Approach,,DA16 2AW,21/04/2021,15/05/2022,,,1,0,1,1,1,Approved,15/04/2019,,,
4479/APP/2021/905,Hillingdon,,Completed,All Other,Conversion of part ground floor and part first floor residential flat (Use Class C3) to create additional floorspace for dental surgery (Use Class E(e)),"SWEETCROFT DENTAL PRACTICE, 267 LONG LANE",,,Hillingdon,UB10 9JR,11/10/2021,22/09/2022,,,0,1,-1,-1,-1,Approved,08/04/2021,,,
22/P0914,Merton,21/03/2022,Completed,All Other,ERECTION OF 1 x TWO STOREY TERRACED DWELLINGHOUSE,,1A,Roper Way,Mitcham,CR4 2LX,01/04/2022,01/04/2023,,,1,0,1,1,1,Approved,28/06/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=22/P0914
21/P1808,Merton,06/05/2021,Completed,All Other,"ERECTION OF SINGLE STOREY REAR EXTENSION, REAR ROOF EXTENSION, CHANGES TO LAYOUT OF EXISTING FLATS INCLUDING CREATION OF NEW 3 BEDROOM FLAT AT GROUND FLOOR, COVERSION OF UPPER LEVELS INTO 2 FLATS AND NEW REFUSE STORAGE/GATES WITHIN FRONTAGE.",Flat 1,380,Kingston Road,Raynes Park,,14/04/2022,22/03/2023,,,3,2,1,1,1,Approved,16/08/2021,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P1808
P/2509/22,Harrow,01/08/2022,Completed,All Other,Change of use of first floor from beauty salon (Sui Generis) to flat (1 X 4 Bed) (Class C3); rear dormer and insertion of two rooflights in front roofslope; First floor rear extension;External alterations; External access stairs at rear; Parking; Refuse and Cycle storage,,19A,Village Way East,Harrow,HA5 5AB,25/11/2022,31/03/2023,,,1,0,1,1,1,Approved,12/10/2022,,,http://site.com?appref=P/2509/22-or-1208143
21/2503/FUL,Barnet,05/05/2021,Commenced,All Other,"First floor rear extension, Roof extension involving rear dormer window and 2no front facing rooflights. Conversion of existing 1no flat into 2no self contained flats. (Amended Description)",,148B,East Barnet Road,Station Road To Brookhill Road,EN4 8RD,01/04/2023,,,,2,0,2,2,2,Approved,24/11/2021,,,
HGY/2019/3110,Haringey,18/11/2019,Completed,All Other,Formation of a new self-contained flat in loft space & new external staircase,"207-209, Mount Pleasant Road, London, N17 6JH",207-209,,,,04/01/2020,14/02/2023,,,1,0,1,1,1,Refused,21/01/2020,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GE4dAAG
21/01529/FUL,Enfield,05/05/2021,Completed,All Other,"Single storey rear extension to ground floor veterinary practice, together with conversion of upper floor maisonette into 2x self-contained flats involving rear dormer at rear and creation of 1st floor terrace at rear with associated cycle and refuse storage.",32 - 34 And 34A Cannon Hill London N14 6LG,,,,,01/04/2022,31/03/2023,,,2,1,1,1,1,Approved,07/02/2022,,,
20/02831/FUL,Enfield,15/09/2020,Completed,All Other,"Redevelopment of site and erection of 1 x 2-storey single family dwellinghouse, with boundary treatments, parking and refuse storage.",,43,Claremont Road,,EN4 0HR,01/04/2022,31/03/2023,,,1,1,0,0,0,Approved,15/12/2020,,,
3977/22,Redbridge,06/12/2022,Completed,All Other,Use as small HMO for up to 6 people. (summary),,15,Middleton Gardens,Gants Hill,IG2 6DP,01/02/2017,27/01/2023,,,1,1,0,0,0,Approved,27/01/2023,,,
2022/1244,Wandsworth,04/04/2022,Completed,All Other,Use as 4 x studio flats.,,39,Letchworth Street,London,SW17 8SX,20/07/2022,20/07/2022,,,4,1,3,3,3,Approved,20/07/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/1244
P2020/0950/PRA,Islington,30/03/2020,Completed,All Other,Notification of Prior Approval for the Change of Use from Retail (Class A1) to Residential (C3).,,74,Aubert Park,London,,30/06/2022,30/06/2022,,,1,0,1,1,1,Approved,01/06/2020,,,
22/03350/CEU,Enfield,04/10/2022,Completed,All Other,Use of single storey building at rear of 824A as a dwelling since 2012 for C3 use.,824B Hertford Road Enfield EN3 6UE,,,,,29/11/2022,29/11/2022,,,1,0,1,1,1,Approved,29/11/2022,,,
16/05560/FULL1,Bromley Custodian Code,05/12/2016,Completed,All Other,"Two storey rear extension, roof alterations and construction of side dormer extension together with conversion of building to provide 2 one bedroom and 4 two bedroom flats, car parking to front, bin stores, cycle stores, amenity space and associated landscaping.",,44,Westmoreland Road,,BR2 0QS,09/08/2021,04/11/2022,,,6,1,5,5,5,Approved,20/02/2017,,,
220244VAR,Ealing,01/03/2022,Completed,All Other,"Minor material amendment (S.73) to vary condition no.2 (approved plans), seeking to allow internal layout changes and amendments to the unit mix, in pursuant to planning permission reference 194300FUL dated 05.08.2020 for 'Change of use from office space (use class B1) at first-floor level into 5x residential flats (use class C3) with associated cycle and refuse storage' (Retrospective)",15 Leeland Road,,Leeland Road,London,W13 9HH,,06/07/2022,,,5,0,5,5,5,Approved,06/07/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/220244VAR;
2020/4547,Wandsworth,24/02/2021,Completed,All Other,"Alterations including erection of 2 x rear dormers, 3 x side rooflights and a rear rooflight to roof in connection with creation of a 1 x 1-bed/studio flat.",Nightingale Mansions,42,Nightingale Lane,London,SW12 8TN,23/03/2022,17/02/2023,,,1,0,1,1,1,Approved,28/05/2021,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2020/4547
20/0361/FUL,Richmond upon Thames,22/04/2020,Completed,All Other,"Enlargement of existing dormer on rear roof, replacement shopfront, replacement windows to front and rear, removel of exisitng lean to at rear first floor level to facilitate change of use of part ground floor, first, second and third floors from A4 to C3 (Residential) to create 3 flats (2 x studio and 1 x 2 bed flats) with associated cycle and refuse stores.",,"26, 28",York Street,,TW1 3LJ,01/10/2020,31/03/2023,,,3,1,2,2,2,Approved,31/07/2020,,,
2021/2756,Hackney,06/09/2021,Completed,All Other,Amalgamation of flats into a single dwellinghouse together with the construction of a rear extension.,,131,RENDLESHAM ROAD,HACKNEY,E5 8PA,25/10/2021,04/08/2022,,,1,2,-1,-1,-1,Approved,25/10/2021,,,/planning/index.html?fa=getApplication&id=71318
HGY/2016/3482,Haringey,,Completed,All Other,"Demolition of all existing buildings and redevelopment to provide 80 residential units (C3 use), comprising: 69 flat apartments across 3 building blocks rising from 3 and 4 storeys to part 5 and 6 storeys and 11 houses, rising from 2 to 3 and a half storeys, together with associated infrastructure, vehicular and cycle parking (subterranean and ground), public realm and landscaping works",Coppetts Wood Hospital,Coppetts Wood Hospital,Coppetts Road,,N10 1JN,10/06/2020,10/01/2023,,,77,0,77,77,77,Approved,27/04/2017,,,
17/06318/FUL,Croydon,,Completed,All Other,"Redevelopment of part of site to provide part 5, 22 and 25-storey mixed used building, incorporating 128 no. residential units (Class C3) in addition to flexible commercial floorspace (Class A1/A3/B1/D2) on lower levels, as well as new vehicular access, residential car parking spaces, new public realm including shared pedestrian and cycle access through the site.",Wandle Road Car Park,Wandle Road Car Park,Wandle Road,Croydon,CR0 1DX,02/02/2019,31/12/2022,,,128,0,128,128,128,Approved,30/07/2018,,,
19/1098/FUL,Richmond upon Thames,23/05/2019,Completed,All Other,"Demolition of detached house, construction of four classrooms and a multi use hall complete with change of use from residential to education.",,190,Sheen Lane,East Sheen,SW14 8LF,16/08/2021,01/11/2022,,,0,1,-1,-1,-1,Approved,27/08/2019,,,
20/03106/PIA,Enfield,19/10/2020,Completed,Prior Approval,Change of use of the ground floor from a retail (A1) to one residential unit at ground floor.,,339,Ordnance Road,,EN3 6HE,01/04/2022,31/03/2023,,,1,0,1,1,1,Refused,05/03/2021,,,
2021/1311,Wandsworth,26/03/2021,Completed,All Other,Erection of a single storey (ground floor and mezzanine) rear extension to provide 1x1 bedroom flat with rear roof terrace. enlargement of rear balconies to all upper floors.,259 - 263 Wimbledon Park Road SW19 6NW,,,,,31/03/2022,11/09/2022,,,1,0,1,1,1,Approved,12/05/2021,,,
22/05415/CLEUD,Westminster,25/08/2022,Completed,All Other,"Use of first, second and third floors as 6 self-contained residential units (Use Class C3).",,19,Westbourne Grove,,W2 4UA,29/09/2022,29/09/2022,,,6,0,6,6,6,Approved,29/09/2022,,,
22/3746/191,Barnet,21/07/2022,Completed,All Other,Use as 5no. self-contained flats,Temple Fortune Mansions,,Finchley Road,,NW11 0QX,18/08/2022,18/08/2022,,,5,1,4,4,4,Approved,18/08/2022,,,
P/0308/19,Harrow,22/01/2019,Completed,All Other,Redevelopment to provide part 5/part 6 storey building comprising of 40 flats (15 x 1bed 19 x 2 bed and 6 x 3 bed); cycle and bin stores; parking (demolition of synagogue),Middlesex New Synagogue,,Bessborough Road,,HA1 3BS,14/06/2021,10/01/2023,,,40,0,40,40,40,Approved,23/04/2019,,,
22/02840/ELUD,Bromley Custodian Code,18/07/2022,Completed,All Other,Use as the premises as an HMO LAWFUL DEVELOPMENT CERTIFICATE (EXISTING),,8,Teal Avenue,,BR5 3NE,25/01/2023,25/01/2023,,,1,1,0,0,0,Approved,25/01/2023,,,
2022/0662,Hackney,11/03/2022,Completed,All Other,A certificate of lawfulness (existing use) for the use of the property as a single residential unit.,"Second Floor Unit 1b, Academy Buildings",,FANSHAW STREET,HACKNEY,N1 6LQ,01/04/2023,01/04/2023,,,1,0,1,1,1,Approved,28/04/2022,,,/planning/index.html?fa=getApplication&id=72954
P1926.20,Havering,07/01/2021,Commenced,All Other,"Demolition of existing garage, and the erection of 2 storey 3-bed end terrace dwelling (with associated car parking, raised patio and amenity space), and the erection of single storey rear extension and front porch to existing dwelling",36 NEWMARKET WAY,,HORNCHURCH,,RM12 6DS,06/09/2021,,,,1,0,1,1,1,Approved,06/05/2021,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P1926.20
