LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
22/02617/CEU,Enfield,30/08/2022,Completed,All Other,Change of use from C3 (dwelling house) to Use Class C2 (supported Living accommodation with 24 hour care) for up to 4 young people (13-16 year olds) (RETROSPECTIVE).,22 Palmerston Crescent London N13 4UA,,,,,17/11/2022,17/11/2022,,,0,1,-1,-1,-1,Approved,17/11/2022,,,
22/3491/191,London Borough of Barnet,06/07/2022,Completed,All Other,Use of first floor level as a self-contained residential flat,Flat B 90 High StreetBarnetEN5 5SN,,,,,,31/08/2022,,,1,0,1,1,1,Approved,31/08/2022,,,
201147FUL,Ealing,17/03/2020,Completed,All Other,Conversion of existing dwelling house into 2 self-contained flats; single storey rear extension,4 Portland Road,,Portland Road,Southall,UB2 4BX,11/04/2022,28/09/2022,,,2,1,1,1,1,Approved,14/05/2020,,,https://pam.ealing.gov.uk/online-applications/PLAN/201147FUL;
20/2987/FUL,Richmond upon Thames,03/11/2020,Completed,All Other,"Demolition of existing bungalow and erection of 3no. new residential units comprising 3 x 3 bedroom terraced houses, together with associated landscaping and parking.",27 Blandford Road Teddington TW11 0LF,,,,TW11 0NF,01/06/2021,12/08/2022,,,3,1,2,2,2,Approved,17/05/2021,,,
DM2019/01248,Sutton,30/07/2019,Completed,All Other,"Demolition of 22 garages and the erection of four two storey semi-detached dwelling houses (4 x 2-bed) with 10 car parking spaces, new hard and soft landscaping works.",Rear Of 304 To 326 Wrythe Lane And Stavordale Road Carshalton,,,,,22/04/2021,07/10/2022,,,4,0,4,4,4,Approved,05/12/2019,,,
22/P1198,Merton,06/06/2022,Completed,All Other,CONVERSION OF SINGLE DWELLING INTO 2x SELF-CONTAINED FLATS INVOLVING INTERNAL RECONFIGURATION AND ERECTION OF A SIDE/REAR EXTENSION AND PROVISION OF CYCLE AND BIN STORAGE.,,18,Tudor Drive,Morden,,28/08/2022,06/01/2023,,,2,1,1,1,1,Approved,04/08/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=22/P1198
21/01283/FUL,Enfield,13/04/2021,Completed,All Other,"Subdivision and conversion of property into 2x dwellinghouses (Use Class C3) involving part gable end roof extension with front and rear dormers to side extension, vehicular access, landscaping and ancillary works.",,1A,Cambridge Gardens,,N21 2AS,30/03/2022,31/03/2023,,,2,1,1,1,1,Approved,16/06/2021,,,
20/03424/PIA,Enfield,19/10/2020,Completed,Prior Approval,Change of use of part of first floor from financial (A2) to 5 residential units (Class C3).,,"104, 110",Fore Street,,N18 2XA,01/04/2022,31/03/2023,,,5,0,5,5,5,Not Required,10/12/2020,,,
20/00577/FULL1,Bromley,11/02/2020,Completed,All Other,"Addition of a third floor with pitched roof (comprising of 2 three bedroom flats), erection of lift shaft to all floors and formation of 3 car parking spaces.",Pembroke Court,41,Wickham Road,,BR3 6NA,,30/06/2022,,,2,6,-4,-4,-4,Approved,07/04/2020,,,
20/01157/FUL,London Borough of Newham,19/05/2020,Completed,All Other,"Demolition of existing six garages and construction of three new residential units comprising of one two storey, two-bedroomed house and two single storey one-bedroomed units.",Garage Site Rear Of 99 To 103,,Chatsworth Road,Stratford,E15 1RD,,31/03/2023,,,3,0,3,3,3,Approved,07/08/2020,,,
23/0215/191,Barnet,23/01/2023,Completed,All Other,Use as 3no. self-contained flats,,23,Barford Close,Hendon,NW4 4XG,20/03/2023,23/01/2023,,,3,0,3,3,3,Approved,20/03/2023,,,
2430/APP/2019/1331,Hillingdon,26/04/2019,Completed,All Other,"Erection of two storey, 5-bed, detached dwelling with habitable roofspace, involving demolition of existing dwelling",46 WARREN ROAD,46,UB10 8AD,,UB10 8AD,22/02/2021,04/04/2023,,,1,1,0,0,0,Approved,03/10/2019,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=2430/APP/2019/1331
20/03485/P3O,Lambeth,07/10/2020,Completed,Prior Approval,Prior approval for the change of use of office (B1(a)) to 1 residential flat (Use Class C3).,,2H,Chatsworth Way,,SE27 9HR,09/06/2022,13/01/2023,,,1,0,1,1,1,Approved,30/11/2020,,,
