LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
3638/20,Redbridge,04/11/2020,Completed,Prior Approval,Upward extension of 2 additional storeys on detached block of flats consisting of 8 new flats. (Summary).,,38,Azalia Close,Ilford,IG1 4FB,01/04/2021,15/03/2022,,,8,0,8,8,8,Approved,08/12/2020,,,
20/00381/FUL,Lambeth,30/01/2020,Completed,All Other,Conversion of existing maisonette into 2 (1x 2-bed and 1x 1-bed) flats.,,6,Greyhound Lane,,SW16 5SD,,20/09/2021,,,2,1,1,1,1,Approved,28/07/2020,,,
19/02823/FULL,Westminster,11/06/2019,Completed,All Other,Conversion from one dwellinghouse to two dwellinghouses including the demolition of the outbuilding and removal of the existing corrugated plastic pergola within the rear garden.,,34,Townshend Road,,NW8 6LE,12/01/2021,03/03/2022,,,2,1,1,1,1,Approved,18/06/2019,,,
2019/1396,Hackney,15/04/2019,Commenced,All Other,Demolition of the existing three garages and erection of a two storey (basement and ground floor) dwelling house.,34-36,38,FILEY AVENUE,HACKNEY,N16 6JJ,22/08/2020,,,,1,0,1,1,1,Approved,02/09/2019,,,/planning/index.html?fa=getApplication&id=51554
184804FUL,Ealing,18/10/2018,Completed,All Other,Conversion of existing maisonette flat to (1 x 1 bed) at second floor level and (1 x 2 bed) at first floor level; Alteration of roof from hip to gable end; rear roof extension to rear roofslope; and installation of three rooflights to front roofslope,2A,2A,King Edwards Gardens,Acton,W3 9RG,31/03/2021,31/03/2022,,,2,1,1,1,1,Approved,04/01/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/184804FUL;
21/03568/FULL1,Bromley,20/07/2021,Completed,All Other,Erection of a 3 bedroom detached dwelling,Land Adjacent To 15,,Sandy Bury,,,06/11/2023,10/03/2022,,,1,0,1,1,1,Approved,09/11/2021,,,
190899FUL,Ealing,26/02/2019,Completed,All Other,Conversion of dwelling into two self-contained residential units and front porch extension,22,22,Hessel Road,West Ealing,W13 9ES,01/11/2020,01/09/2021,,,2,1,1,1,1,Approved,18/04/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/190899FUL;
20/00777/PIA,Enfield,02/03/2020,Completed,Prior Approval,Change of use of part ground floor from retail (Class A1) to 1 x self-contained flat (Class C3) together with external alterations.,,113,Ordnance Road,,EN3 6AG,18/05/2020,01/01/2022,,,1,0,1,1,1,Not Required,18/05/2020,,,
18/4685/FUL,London Borough of Barnet,27/07/2018,Completed,All Other,"Demolition of existing garage (Use Class B2) and erection of a new building (part 3, part 4 and part 5 storey) comprising flexible Class A2, B1 floorspace and 20 self-contained flats (Use Class C3) with associated parking, closure of existing vehicular access and creation of new vehicular access, cycle and refuse store, amenity areas and landscaping",,186,High Street,,HA8 7EX,01/04/2021,17/09/2021,,,20,0,20,20,20,Approved,29/03/2019,,,
20/00788/FUL,London Borough of Croydon,27/02/2020,Completed,All Other,"Demolition of a garage, alterations to land levels and erection of a detached three bedroom two storey dwelling on land fronting Church Way at the rear of 9 Addington Road",Land R/o 9 Addington RoadChurch WaySouth CroydonCR2 0JU,,,,,,31/03/2022,,,1,0,1,1,1,Approved,06/08/2020,,,
