LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
216041OPDLDC,Ealing,01/10/2021,Completed,All Other,Continued use of property as two self-contained units (Lawful Development Certificate for an Existing Use),42 Wells House Road,,Wells House Road,London,NW10 6EE,10/01/2022,10/01/2022,,,2,1,1,1,1,Approved,10/01/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/216041OPDLDC;
20/01775/S106,London Borough of Lambeth,28/05/2020,Completed,All Other,"Application for deed of variation to S106 agreement pursuant to planning permission ref. 14/03600/VOC (Variation of condition 2 (approved plans) of planning permission ref: 13/03582/VOC (Application for variation of planning permission ref: 12/04422/FUL granted on 21.06.2013 (Demolition and redevelopment of the existing building and the erection of a part 15, part 16-24, part 19-27 storey building to provide a residential led mixed use development comprising ground floor cafe/restaurant uses (A3); office (B1); residents gym and members lounge; and 252 residential units, together with ancillary residential facilities, associated amenity space, car, motorcycle and cycle parking, access and servicing, refuse storage and collection facilities and landscaped public piazza). granted 07.11.2013. Amendment sought: To convert the tenure of 11 units of the 36 shared ownership units from Shared Ownership to Affordable Rent.",Hampton House,20,Albert Embankment,,SE1 7TJ,11/05/2021,11/05/2021,,,11,11,0,0,0,Approved,11/05/2021,,,
2022/02637/FUL,London Borough of Hammersmith and Fulham,26/09/2022,Commenced,All Other,"Retrospective Change of Use; conversion of two self-contained flats into single dwelling house, single storey rear extension and retention of existing door at first floor level (rear elevation) with installation of a Juliette Balcony. (Revised drawings and description).",,49,Anselm Road,,SW6 1LH,06/02/2017,,,,2,2,0,0,0,Approved,21/11/2022,,,
2019/2938,Hackney,17/09/2019,Completed,All Other,Existing use as residential self-contained flat (Use Class C3),Flat G,44 - 48,SHEPHERDESS WALK,HACKNEY,N1 7JP,18/02/2020,19/03/2022,,,1,0,1,1,1,Approved,08/11/2019,,,/planning/index.html?fa=getApplication&id=7354
204009FUL,Ealing,04/11/2020,Completed,All Other,Conversion of dwellinghouse into two self-contained flats; single storey side/rear (wrap around) extension; rear extension to outrigger; rear roof extension and installation of two rooflights to the front roof slope.,33 Dudley Road,,Dudley Road,Southall,UB2 5AS,28/02/2020,01/04/2022,,,2,1,1,1,1,Approved,14/01/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/204009FUL;
20/05368/FUL,Croydon,16/10/2020,Completed,All Other,"Alterations, use as a House in Multiple Occupation (HMO) for 6 persons.",,93,Norbury Crescent,Norbury,SW16 4JT,01/05/2021,01/04/2022,,,1,1,0,0,0,Approved,22/12/2020,,,
2021/3561,Wandsworth,28/07/2021,Completed,All Other,Alterations including erection of ground floor side/rear extension in connection with conversion of property into 1 x 3-bedroom and 2 x 1 bedroomed flats.,,32,Coverton Road,London,SW17 0QL,18/10/2021,18/10/2021,,,3,1,2,2,2,Approved,13/12/2021,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/3561
21/1270/ES191,Richmond,04/05/2021,Completed,Prior Approval,Residential flat above garage.,Flat 32 St Georges Road Twickenham TW1 1QR,,,,TW1 1QR,29/06/2021,29/06/2021,,,1,0,1,1,1,Approved,29/06/2021,,,
204471FUL,Ealing,16/11/2020,Completed,All Other,"Conversion of single dwelling house into two flats with associated amenity space, cycle parking and refuse storage",48 Shackleton Road,,Shackleton Road,Southall,UB1 2JB,10/01/2021,01/05/2021,,,2,1,1,1,1,Approved,07/01/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/204471FUL;
19/P2238,Merton,07/06/2019,Completed,All Other,CONVERSION OF A SINGLE DWELLINGHOUSE INTO 1 x FOUR BEDROOM AND 1 x ONE BEDROOM DWELLINGHOUSE.,,7,Hammond Avenue,Mitcham,CR4 1SR,01/08/2020,17/08/2021,,,2,1,1,1,1,Approved,30/08/2019,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=19/P2238
17762/APP/2020/2323,Hillingdon,11/08/2020,Completed,All Other,Proposed conversion of former plant room/loft area to create one studio flat,DUVAL HOUSE,Duval House,HIGH STREET,,UB7 0BT,13/10/2020,09/06/2021,,,1,0,1,1,1,Approved,13/10/2020,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=17762/APP/2020/2323
21/04798/CEU,Enfield,29/12/2021,Completed,All Other,Use of premises as 2 self-contained flats.,,2,Greenwood Gardens,,N13 5RT,22/02/2022,18/03/2022,,,2,1,1,1,1,Approved,22/02/2022,,,
2019/03072/FUL,London Borough of Hammersmith and Fulham,18/10/2019,Completed,All Other,"Change of use of part of the rear of the ground floor and erection of a rear extension at first floor level, on top of the existing back addition to create a 1x 1 bedroom self contained flat at ground and first floor levels with associated cycle parking and refuse storage.",,333,North End Road,,SW6 1NN,,14/01/2022,,,1,0,1,1,1,Approved,20/12/2019,,,
18/05377/FULL1,Bromley,,Completed,All Other,"Conversion and extension of existing two bedroom dwellinghouse into three self-contained flats with rear dormer extension to the roof, external staircase to side, 3 x off-street parking spaces, cycle store and refuse storage",18,18,Snowdown Close,Penge London,SE20 7RU,01/06/2020,23/09/2021,,,3,1,2,2,2,Approved,02/12/2019,,,
HGY/2020/0741,Haringey,18/03/2020,Completed,All Other,"Conversion of existing single family dwelling into 2no. 3-bed flats and 2no. 1-bedroom flats and alterations to front elevation, provision of cycle parking and refuse storage to front area.","62, Priory Road, London, N8 7EX",,,,,,16/11/2021,,,4,1,3,3,3,Approved,14/05/2020,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GBWJAA4
19/02452/FUL,London Borough of Croydon,29/05/2019,Completed,All Other,Erection of single storey side/rear extension and conversion of property into 1 X 1 bedroom flat and 1 X 3 bedroom flat,,30,Hathaway Road,,CR0 2TP,10/02/2020,31/03/2022,,,2,1,1,1,1,Approved,24/07/2019,,,
19/01322/FULL,Westminster,28/02/2019,Completed,All Other,"Erection of two storey roof extension comprising 4 new residential units (1 x studio, 2 x 1-bed and 1 x 3-bed) with associated cycle and refuse storage, and the reconfiguration of the Harrow Road ground floor elevation to incorporate a refuse store and access ramp. Alteration to Harrow Road elevation windows.",Little Venice Estate Office 324 Harrow RoadLondonW9 2HP,,,,,,21/09/2021,,,4,0,4,4,4,Approved,16/08/2019,,,
HGY/2015/2321,Haringey,,Completed,All Other,"Demolition of existing building, construction of new road and construction of a lower ground, first, second and set back third storey building comprising of 31 new residential flats and new office space (amended plans showing revised design)",255,255,LORDSHIP LANE,,N17 6AA,31/03/2017,15/03/2022,,,32,0,32,32,32,Approved,01/08/2016,,,
20/02709/FUL,Lambeth,27/08/2020,Completed,All Other,Amalgamation of 2 x 3 bedroom units to form 1 x 5 bedroom unit.,Bridge House,18,St George Wharf,,SW8 2LQ,01/03/2022,23/02/2023,,,1,2,-1,-1,-1,Approved,22/10/2020,,,
19/00806/CLP,London Borough of Newham,14/03/2019,Completed,All Other,"Certificate of lawfulness for a proposal to separate the ground floor from the upper parts and convert the first and second floors into two self-contained flats, one per floor, as shown on the application drawing no. 2491/11.",,259,Katherine Road,Forest Gate,E7 8PP,,31/03/2022,,,1,0,1,1,1,Approved,09/05/2019,,,
19/02830/FUL,Enfield,12/08/2019,Completed,All Other,Demolition of existing 1no. 4-bedroom dwelling (C3) and erection of 4no. 4-bedroom (8 person) dwellinghouses with basement level accommodation and associated works.,39A Camlet Way EN4 0LJ,39A,Camlet Way,,EN4 0LJ,01/04/2021,31/03/2022,,,4,1,3,3,3,Approved,18/10/2019,,,https://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PW4MVMJNJ0Y00
21/01353/LDCE,London Borough of Lambeth,03/04/2021,Completed,All Other,Application for a Certificate of Lawful Development (Existing) with respect to the use of second floor as a self-contained three bedroom flat.,,21,Garrad's Road,,SW16 1JY,28/05/2021,28/05/2021,,,1,0,1,1,1,Approved,28/05/2021,,,
2020/3278,Hackney,22/12/2020,Completed,All Other,Use as self contained residential unit (Unit 4) under use class C3 (dwellinghouse).&nbsp;&nbsp;,"Dailley Building, 230",230,Dalston Lane,,E8 1LA,17/02/2021,17/02/2021,,,1,0,1,1,1,Approved,17/02/2021,,,
21/02698/CLE,London Borough of Newham,28/10/2021,Completed,All Other,Certificate of lawfulness for the existing use of the property as two self-contained flats.,,35,Jephson Road,Forest Gate,E7 8NA,,31/03/2022,,,2,1,1,1,1,Approved,10/12/2021,,,
191923FUL,Ealing,29/05/2019,Completed,All Other,"Provision of mansard roof with the installation of 6 no. dormer windows to the front roofslope and rear outrigger roof extension to accommodate 6 no. self-contained residential units (6-studio) with associated cycle parking, refuse storage and landscaping.",York House,York House,Grafton Road,London,W3 6PE,01/12/2020,04/03/2022,,,6,0,6,6,6,Approved,08/08/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/191923FUL;
212206FUL,Ealing,18/03/2021,Completed,All Other,"Conversion of single dwelling house into two self-contained units with associated bin storage, bicycle parking, off-street vehicle parking and private amenity space.",114 Dane Road,,Dane Road,Southall,UB1 2EE,,01/02/2022,,,3,2,1,1,1,Approved,17/05/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/212206FUL;
16/01547/FULL1,Bromley,31/03/2016,Completed,All Other,"Detached two storey 3 bedroom dwelling with 2 car parking spaces and vehicular access on land adjacent to 78 Brow Crescent, and elevational alterations to existing dwelling including removal of porch.",,78,Brow Crescent,,BR5 4LP,01/09/2019,28/06/2021,,,1,1,0,0,0,Approved,02/09/2016,,,
20/00430/RG4,Lambeth,03/02/2020,Completed,All Other,Redevelopment to provide 4 residential dwellings together with a replacement Class D1 (non-residential institution) facility.,247-251 Sternhold Avenue London SW2 4PG,,,,SW2 4EG,20/03/2021,25/03/2022,,,4,0,4,4,4,Approved,18/11/2020,,,
P2020/3476/COL,Islington,08/12/2020,Completed,All Other,"This property is located at 40 Danbury Street, where the are 36 residential properties. This property in particular is a one bedroom property located on the first floor. The property has been in residential usage for a period of over four years with clear, precise and sufficient evidence to show.",,40,Danbury Street,London,,01/04/2022,01/04/2022,,,1,0,1,1,1,Comment Issued,09/04/2021,,,
20/00130/VAR,London Borough of Newham,22/01/2020,Completed,All Other,"Application under Section 73 to vary Condition 2 (Documents and Drawings) attached to planning permission 17/00363/FUL dated 12th October 2017 which granted full planning permission for: Redevelopment of former Royal Docks Service Station to provide a new residential development comprising of 295 residential units set across four buildings ranging in height from 5 storeys to 13 storeys with single basement level, landscaping, amenity space, and ancillary associated development. Proposed amendments comprise;- Removal of oversail to Block A- Adjustments to buildings massing including height and footprint- Internal reconfiguration including removal of duplex units in Block B- Amendment to basement layout including reduction in car parking spaces from 121 to 106- Alterations to housing mix and affordable housing- Relocation of substation- Alterations to external elevations This application site affects the settings of Listed Buildings - Grade II* Former St Mark's Church and the Grade II War Memorial at the Former St Mark's Church.",Royal Docks Service Station,,North Woolwich Road,Silvertown,,,31/03/2022,,,295,0,295,295,295,Approved,30/04/2020,,,
21/0975/FUL,Richmond,23/03/2021,Completed,All Other,"Removal of extraction flue, new rear boundary wall, alterations to existing ground floor rear extension, alterations/replacement windows and doors to facilitate the change of use of part ground floor from restaurant to shop/office (Class E) and part ground and upper floors from restaurant to residential use to create 2 flats (1 x 1 bedroom flat and 1 x 2 bedroom flat)",,5,White Hart Lane,Barnes,SW13 0PX,04/02/2022,31/03/2022,,,2,0,2,2,2,Approved,04/02/2022,,,
20/00574/FUL,London Borough of Newham,12/03/2020,Completed,All Other,"Retention of existing facade, and the construction of a part-three, part-four storey extension above to facilitate the provision of 8 residential units. AMENDED DESCRIPTION",The Royal Oak,17,Woodman Street,North Woolwich,E16 2LN,,31/03/2022,,,8,0,8,8,8,Approved,29/05/2020,,,
HGY/2020/2517,Haringey,30/09/2020,Completed,All Other,Certificate of lawfulness for the existing use of the property as two self-contained flats,"Flat 1 and Flat 2, 74, Asplins Road, London, N17 0NX",,,,,,11/09/2021,,,2,1,1,1,1,Approved,25/11/2020,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GKfLAAW
DM2022/00658,Sutton,04/05/2022,Completed,All Other,"Retention of a 3 storey detached building with accommodation within the roof space comprising 9 self contained flats, provision of cycle and refuse stores and car parking spaces to the front and rear.",,22,Cedar Road,,SM2 5DG,01/05/2019,19/04/2021,,,9,0,9,9,9,Approved,29/06/2022,,,
21/AP/0638,London Borough of Southwark,24/02/2021,Completed,All Other,Use of Flat 3 as a residential dwelling (Use Class C3).,Flat 319 Blue Anchor LaneLondonSouthwarkSE16 3UL,,,,,,20/04/2021,,,1,0,1,1,1,Approved,20/04/2021,,,
213628CPE,Ealing,28/05/2021,Completed,All Other,Continue use of property as two self-contained flats (Lawful Development Certificate for Existing Use),275 Greenford Road,,Greenford Road,Greenford,UB6 8QZ,11/08/2021,11/08/2021,,,2,1,1,1,1,Approved,11/08/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/213628CPE;
21/AP/2602,London Borough of Southwark,23/07/2021,Completed,All Other,Certificate of Lawful Development (Existing) to confirm the property has been in solely residential use since November 2010,"Crown Place Apartments, G06",20,Varcoe Road,,SE16 3AD,,10/09/2021,,,1,0,1,1,1,Approved,10/09/2021,,,
19/02727/FUL,Enfield,06/09/2019,Completed,All Other,"Redevelopment of site and erection of a 2-storey block of 7x self-contained flats, comprising 1 x 1-bed and 6 x 2-bed, involving first floor terraces, and associated parking, refuse storage and landscaping.",,117,Avenue Road,,N14 4DN,01/04/2021,31/03/2022,,,7,1,6,6,6,Withdrawn,03/02/2020,,,
21/01060/LE,London Borough of Croydon,02/03/2021,Completed,All Other,"Implementation of planning permission 17/03574/FUL for Construction of lower ground floor and third floors and first and second floor side extensions to provide an additional 4 one bedroom, 3 two bedroom and 2 three bedroom flats, recladding of building, relocation of bin store plus the creation of 15no. car parking spaces, 35no. cycle parking spaces and hard and soft landscaping measures.",Irvine Court,3,Dunheved Road North,,CR7 6AX,13/04/2021,13/04/2021,,,9,0,9,9,9,Approved,13/04/2021,,,
61202/APP/2019/3510,Hillingdon,19/12/2019,Completed,All Other,"Demolition of three existing buildings (Use Classes B1(a) and B1(c)) and erection of a four storey residential hostel building (Sui Generis) containing 28 units, comprising 13 x 1-bedroom, 8 x 2-bedroom and 7 x 3-bedroom dwellings with associated car parking, landscaping and children's play area.",T C M HOUSE,TCM House,NEWPORT ROAD,,UB4 8JX,15/06/2020,31/03/2022,,,28,0,28,28,28,Approved,18/03/2020,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=61202/APP/2019/3510
P/3914/21,Harrow,04/10/2021,Completed,All Other,Conversion of dwellinghouse into two flats (2 x 1 Bed); Amenity space; Refuse and Cycle Storage,,28,Byron Road,Harrow,HA3 7ST,19/01/2022,01/04/2022,,,2,1,1,1,1,Approved,19/01/2022,,,http://site.com?appref=P/3914/21-or-1157241
173136VAR,Ealing,02/06/2017,Completed,All Other,Application for Minor Material Amendment (S73) / Variation of condition no.2 (approved plans) of planning permission 171508FUL dated 16/05/2017 for 'Construction of a detached two storey 3 bed single family dwelling-house (following demolition of existing garage) with associated amenity space and attached garage.' Variation comprises a part first floor side extension to provide an extra bedroom over the attached garage,34-36 Ingram Way,34-36,Ingram Way,Greenford,UB6 8QG,14/08/2017,21/05/2021,,,1,0,1,1,1,Approved,13/07/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/173136VAR;
2019/0756,Hackney,25/02/2019,Commenced,Prior Approval,Change of use of first and second floor offices (Use Class B1(a)) to a two bedroom unit and 2 self-contained studio units (Use Class C3),117,117,GREEN LANES,HACKNEY,N16 9DA,18/04/2019,,,,3,0,3,3,3,Approved,18/04/2019,,,/planning/index.html?fa=getApplication&id=65665
20/06663/LE,London Borough of Croydon,25/12/2020,Completed,All Other,Use of dwelling as HMO within Use Class C4 (3 - 6 persons),,51,Warren Road,,CR0 6PF,01/05/2021,01/06/2021,,,1,1,0,0,0,Approved,15/02/2021,,,
20/01635/FUL,London Borough of Newham,02/08/2020,Completed,All Other,"Proposed single storey rear extension, hip to gable roof alteration, loft conversion with rear dormer and change of use of existing commercial unit on ground floor to merge with existing residential unit on upper floors to create a four bed dwellinghouse with internal and external alterations on all elevations.",,59,Haldane Road,East Ham,E6 3JH,,31/03/2022,,,1,0,1,1,1,Approved,14/09/2020,,,
204822FUL,Ealing,24/11/2020,Completed,All Other,"Conversion of a dwelling house into 2 self-contained flats with associated private amenity, parking, refuse and cycle storage.",304 Lady Margaret Road,,Lady Margaret Road,Southall,UB1 2NQ,25/01/2021,01/06/2021,,,2,1,1,1,1,Approved,25/01/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/204822FUL;
191405FUL,Ealing,27/03/2019,Completed,All Other,"Two storey side/rear extension to accommodate an attached dwellinghouse with associated amenity space, cycle storage and refuse storage provision on land adjacent 64 Southwell Avenue, Northolt (following demolition of detached outbuilding); single storey rear and front porch extension to existing dwellinghouse",64 Southwell Avenue,64,Southwell Avenue,Northolt,UB5 4EB,01/09/2019,08/02/2022,,,1,0,1,1,1,Approved,20/05/2019,,,https://pam.ealing.gov.uk/online-applications/PLAN/191405FUL;
19/01899/PRJ,Enfield,29/05/2019,Completed,Prior Approval,Conversion of the existing first floor unit from office (Class B1(a)) to a residential unit (Class C3).,,10,Brick Lane,,EN3 5BA,19/07/2019,30/05/2021,,,1,0,1,1,1,Not Required,19/07/2019,,,
HGY/2016/3482,Haringey,,Completed,All Other,"Demolition of all existing buildings and redevelopment to provide 80 residential units (C3 use), comprising: 69 flat apartments across 3 building blocks rising from 3 and 4 storeys to part 5 and 6 storeys and 11 houses, rising from 2 to 3 and a half storeys, together with associated infrastructure, vehicular and cycle parking (subterranean and ground), public realm and landscaping works",Coppetts Wood Hospital,Coppetts Wood Hospital,Coppetts Road,,N10 1JN,10/06/2020,10/01/2023,,,77,0,77,77,77,Approved,27/04/2017,,,
P/2015/4059,Ealing,11/08/2015,Completed,All Other,Construction of a two storey attached house,46 Newnham Close,46,Newnham Close,Northolt,UB5 4LJ,,14/01/2022,,,1,0,1,1,1,Approved,06/10/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/4059;
2019/02918/CLE,London Borough of Hammersmith and Fulham,04/10/2019,Completed,All Other,Continued use of the ground floor as 2 self-contained flats.,Flat Ground Floor 8 Stanwick Road London W14 8UH,,,,,01/04/2021,31/03/2022,,,2,0,2,2,2,Approved,01/05/2020,,,
19/AP/7506,London Borough of Southwark,20/12/2019,Completed,All Other,Conversion of existing first floor flat to provide 2 No. studio flats with accompanying cycle storage and bin storage; alterations to windows,104-106 Dog Kennel HillLondonSouthwarkSE22 8BE,,,,,,24/12/2021,,,2,1,1,1,1,Approved,24/03/2020,,,
P2020/0118/COL,Islington,05/06/2020,Completed,All Other,Application for a Lawful Development Certificate for an Existing use as a self contained residential unit (studio flat),,40,Danbury Street,London,,01/04/2022,01/04/2022,,,1,0,1,1,1,Comment Issued,30/07/2020,,,
20/01476/FUL,Lambeth,30/04/2020,Completed,All Other,Conversion of a flat in multiple occupation (Use Class C4) at upper ground floor into 2 self-contained flats (Use Class C3).,,1,Elms Road,,SW4 9ET,30/10/2020,20/07/2021,,,2,1,1,1,1,Approved,30/09/2020,,,
14/02893/FUL,Newham,,Completed,All Other,"Demolition of the West Ham United Football Ground and ancillary outbuildings to enable a comprehensive redevelopment of the site; including the erection of new buildings, rising to 3 to 13 storeys, (including a basement on part of the site), to deliver 842 new residential homes (use class C3), including affordable housing, in a mix of unit sizes and tenures, 559 sqm (Net Internal Area) of use class D1 floor space, 146.3 sqm (Net Internal Area) of flexible use class A1 and/or A2 and/or A3 and/or A4 and/or B1 and/or D1 and/or D2 floor space, together with associated cycle parking, car parking, highways, landscaping, and infrastructure works.",West Ham United Football Club,West Ham United Football Club,Green Street,Upton Park,E13 9AZ,31/03/2017,01/06/2023,,,842,0,842,842,842,Approved,13/07/2016,,,
21/00701/FULL1,LB Bromley,02/03/2021,Completed,All Other,"Formation of new vehicular access and vehicular hardstanding with single storey front extension to No 1 Pembury Close, reconfiguration of boundary between Nos 1 and 2 with alterations to existing outbuilding at No. 2. Construction on land adjacent to No. 1 of a two storey three bedroom end of terrace dwelling. Construction of detached outbuildings for existing and proposed dwellings comprising home office and gym to proposed dwelling and home office within rear garden of No. 1. Associated hard and soft landscaping, patio and retaining walls to rear",,1,Pembury Close,Hayes,BR2 7PS,28/05/2021,28/03/2022,,,1,0,1,1,1,Approved,07/05/2021,,,
J0033.20,Havering,25/09/2020,Completed,Prior Approval,Prior Approval for a part change of use of ground floor from A1 retail to C3 residential to create a 1-bed flat,8 HOG HILL ROAD,,ROMFORD,,RM5 2DH,04/10/2021,04/10/2021,,,1,0,1,1,1,Approved,27/11/2020,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=J0033.20
204658FUL,Ealing,12/11/2020,Completed,All Other,"Conversion of existing single family dwellinghouse into four self-contained residential units; and provision of cycle store, private amenity space and refuse storage.",3 Leeland Terrace,,Leeland Terrace,London,W13 9HW,10/03/2021,06/08/2021,,,4,1,3,3,3,Approved,10/03/2021,,,https://pam.ealing.gov.uk/online-applications/PLAN/204658FUL;
P2020/0109/COL,Islington,05/06/2020,Completed,All Other,Application for a Lawful Development Certificate for an Existing use as a single residential unit (studio flat),,40,Danbury Street,London,,01/04/2022,01/04/2022,,,1,0,1,1,1,Comment Issued,30/07/2020,,,
P2020/2955/COL,Islington,27/10/2020,Completed,All Other,Residential C3 use,Ground Floor Rear Flat,,Caledonian Road,London,N1 1ED,01/04/2022,01/04/2022,,,1,0,1,1,1,Comment Issued,06/01/2021,,,
DM2020/00192,London Borough of Sutton,21/02/2020,Completed,All Other,"Conversion of the property into two 2-storey dwellings involving the erection of a two storey side and rear extension, erection of a single storey front extension, conversion of loft space involving alterations to existing roofline, a dormer extension at rear, and rooflights to front roofslope and alteration to the flank fenestration. Demolition of existing garage and erection of two garages including vehicular access from Burford Road, provision of refuse and cycle storage and new boundary treatments.",,2,Minster Avenue,,SM1 2NL,20/05/2020,12/05/2021,,,2,2,0,0,0,Approved,15/05/2020,,,
19/00347/LE,London Borough of Croydon,25/01/2019,Completed,All Other,Use of the first and second floors of 1385A London Road Norbury London SW16 4AN as five self-contained flats continuously for in excess of four years,,1385A,London Road,Norbury,SW16 4AN,,01/06/2021,,,5,0,5,5,5,Approved,20/03/2019,,,
18/01949/FUL,London Borough of Bexley,15/08/2018,Completed,All Other,"Two storey rear and side extensions and alterations to roofline incorporating hip to gable ends and rear dormer extension to provide room in roofspace to facilitate the conversion of existing dwelling into 3 self-contained flats comprising 1 x 3 bed, 1 x 1 bed and 1 studio flat with associated parking, cycle storage and amenity areas.",,50,Clifton Road,,DA16 1QD,07/01/2022,07/01/2022,,,3,1,2,2,2,Approved,30/01/2019,,,
19/05094/FULL,Westminster,17/07/2019,Completed,All Other,Use of the basement level to provide 1 x 2 bed residential unit. Alterations to the existing window at basement front lightwell area.,Basement,53,Moreton Street,,SW1V 2NY,01/07/2021,17/12/2021,,,1,0,1,1,1,Approved,07/05/2020,,,
19/03573/FULL1,Bromley,18/09/2019,Completed,All Other,"Extensions to rear at ground and first floors, rear roof dormer and conversion of property into two 1 bedroom and three 2 bedroom self-contained flats. Erection of single-storey outbuilding, landscaping and alterations to front to provide off street parking, cycle and bin stores.",,49,Newlands Park,Sydenham,SE26 5PN,15/03/2021,23/12/2021,,,5,1,4,4,4,Approved,05/12/2019,,,
19/03540/FUL,Croydon,08/08/2019,Completed,All Other,External alterations to the third floor to provide new fourth floor accommodation comprising 2no. residential units (Class C3).,,,Hermitage Lane,,SW16 3LH,01/03/2021,31/03/2022,,,2,0,2,2,2,Approved,05/12/2019,,,
19/03217/FUL,London Borough of Croydon,15/07/2019,Completed,All Other,"Conversion of single family dwellinghouse to 1 x three bedroom flat and 1 x studio flat, installation of a side door and window and associated refuse and cycle storage",,336,Brigstock Road,,CR7 7JF,01/04/2021,31/03/2022,,,2,1,1,1,1,Approved,30/09/2019,,,
