LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
2013/1978,Wandsworth,,Completed,All Other,"Demolition of all existing buildings on site and construction of 110 new dwellings in buildings of between three and seven storeys (55 mews, courtyard and town houses and 55 apartments) with 102 car parking spaces and 203 cycle spaces; associated access, highway and landscaping works including new open space and childrens play area.",Argyll Terrace,Saint John Boscoe College,Victoria Drive,London,SW19 6AD,01/06/2016,31/03/2019,,,110,0,110,110,110,Approved,22/10/2013,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2013/1978
16/P0833,Merton,,Completed,All Other,DEMOLITION OF EXISTING WAREHOUSE AND ERECTION OF 4 X TOWN HOUSES WITH GARAGES AND ASSOCIATED LANDSCAPING,1A,1A,Arnold Road,Tooting,SW17 9HU,12/07/2017,01/05/2018,,,4,0,4,4,4,Approved,19/05/2016,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=16/P0833
2715/16,Redbridge,11/06/2016,Completed,All Other,Proposed formation of new third floor with conversion of upper floors to provide 2 studio units and 1 x 1 self-contained flat (Summary).,49,49 51,York Road,,IG1 3AD,01/01/2018,24/09/2018,,,3,1,2,2,2,Refused,19/01/2017,,,
P/2015/4989,Ealing,26/10/2015,Completed,All Other,Construction of additional 3 floors to rear addition (creation of 5x1 bedroom flats and 1x3 bedroom flat),Land To The Rear Of,Land to the rear of 16-17,The Mall,London,W5 2PJ,,27/08/2018,,,6,0,6,6,6,Approved,30/06/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/P/2015/4989;
2019/0317,Hackney,28/01/2019,Completed,All Other,Existing use of the premises as 8 self-contained dwellings (use class C3).,70,70,MANOR ROAD,HACKNEY,N16 5BN,25/03/2019,25/03/2019,,,8,1,7,7,7,Approved,25/03/2019,,,/planning/index.html?fa=getApplication&id=4535
177899FUL,Ealing,24/10/2017,Completed,All Other,"Two storey side and rear extension to create three self contained units and associated amenity space, car parking, cycle and refuse storage",2 Leamington Road,2,Leamington Road,Southall,UB2 5JD,05/03/2018,04/03/2019,,,3,0,3,3,3,Approved,16/01/2018,,,https://pam.ealing.gov.uk/online-applications/PLAN/177899FUL;
12/AP/2444,London Borough of Southwark,29/08/2012,Completed,All Other,"Demolition of existing buildings and erection of two buildings, one at 286-304 Camberwell Road (blocks A & B) ranging in height from four to seven storeys comprising 616 sqm of commercial floorspace (Use Classes A1 shops, A2 financial/professional services, B1 business and/or D1 non-residential institutions) and 57 residential units (26 x 1 bed, 26 x 2 bed and 5 x 3 bed) plus 5 disabled car parking spaces, the other at 272-274 Camberwell Road and Medlar Street (blocks C & D) ranging in height from three to four storeys and comprising 62 sqm of commercial floorspace (Use Classes A1, A2, B1 and/or D1) and nine residential units (3 x 3 bed and 6 x 4 bed), and with balconies, terraces, gardens and / or communal amenity space and roof garden, bicycle spaces, refuse/recycling storage and access. (Total 678sqm of commercial floorspace (Use Classes A1, A2, B1 and/or D1) and 66 residential units (26 x 1 bed, 26 x 2 bed, 8 x 3 bed and 6 x 4 bed))",272-274 Camberwell Road And Medlar Street And 286-304 Camberwell Road SE5,,,,,,09/09/2018,,,66,0,66,66,66,GWLA,28/11/2012,,,
P/4904/14,Harrow,30/12/2014,Completed,All Other,REDEVELOPMENT: NEW TWO-STOREY DWELLINGHOUSE WITH ACCOMODATION IN THE ROOF AND A BASEMENT; DETACHED GARAGE; RAISED TERRACE; LANDSCAPING,The City Open Space,3 & 4 The City,Old Redding,Harrow,,18/11/2016,31/03/2019,,,1,1,0,0,0,Approved,24/02/2015,,,http://site.com?appref=P/4904/14-or-892051
HGY/2019/0359,Haringey,11/01/2019,Completed,All Other,Certificate of Lawfulness for existing use as five self-contained flats,"16, Crowland Road, London, N15 6UT",16,,,,14/02/2019,14/02/2019,,,5,0,5,5,5,Approved,14/02/2019,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GCr4AAG
162438FUL,Ealing,24/05/2016,Completed,All Other,Two storey two bedroom dwellinghouse; incorporating refuse and cycle storage and boundary treatment (following demolition of existing garage).,7,7,Sycamore Avenue,Ealing,W5 4LH,07/08/2017,02/06/2018,,,1,0,1,1,1,Approved,19/07/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/162438FUL;
162182FUL,Ealing,13/05/2016,Completed,All Other,"Conversion from six self-contained residential unit to ten self-contained residential unit (2x1 bed, 4x2 bed and 4x3 bed) following fourth storey mansard roof extension; alterations to the fenestration of the front and rear elevations",107-111 Churchfield Road,107-111,Churchfield Road,London,W3 6AH,01/05/2017,01/08/2018,,,10,6,4,4,4,Approved,09/03/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/162182FUL;
14/02893/FUL,Newham,,Completed,All Other,"Demolition of the West Ham United Football Ground and ancillary outbuildings to enable a comprehensive redevelopment of the site; including the erection of new buildings, rising to 3 to 13 storeys, (including a basement on part of the site), to deliver 842 new residential homes (use class C3), including affordable housing, in a mix of unit sizes and tenures, 559 sqm (Net Internal Area) of use class D1 floor space, 146.3 sqm (Net Internal Area) of flexible use class A1 and/or A2 and/or A3 and/or A4 and/or B1 and/or D1 and/or D2 floor space, together with associated cycle parking, car parking, highways, landscaping, and infrastructure works.",West Ham United Football Club,West Ham United Football Club,Green Street,Upton Park,E13 9AZ,31/03/2017,01/06/2023,,,842,0,842,842,842,Approved,13/07/2016,,,
165968FUL,Ealing,28/11/2016,Completed,All Other,"Construction of a detached two storey dwellinghouse (1 x 5 beds) with associated car parking and amenity space on land adjacent 18 Thorncliffe Road, Southall; and construction of a single storey outbuilding in rear garden.",18,18,Thorncliffe Road,Southall,UB2 5RG,20/01/2017,01/04/2019,,,1,0,1,1,1,Approved,20/01/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/165968FUL;
173939FUL,Ealing,03/08/2017,Completed,All Other,"Construction of a first, second and third floor level extension to accomdate nine residential flats; with associated landscaping, cycle parking and secure refuse storage",Alexandra House,Alexandra House,Oldham Terrace,London,W3 6NH,04/05/2018,07/11/2018,,,3,0,3,3,3,Approved,04/05/2018,,,https://pam.ealing.gov.uk/online-applications/PLAN/173939FUL;
18/P3909,Merton,,Completed,All Other,APPLICATION FOR A LAWFUL DEVELOPMENT CERTIFICATE IN RESPECT OF THE EXISTING USE OF DWELLING HOUSE AS 2 X SELF CONTAINED FLATS,,,"Links Road, Tooting",,SW17 9EF,13/12/2018,13/12/2018,,,2,1,1,1,1,Completed,13/12/2018,,,
